repeat,shift_index,shift,causal_renal_path_estimate,true_renal_path,causal_inflammation_path_estimate,true_inflammation_path,adjusted_irrelevant_slope_rms,target_missing_fraction,target_all_missing_rate
23,3,Strong shift,1.562207628536371,1.8,0.6848874802199745,0.8,0.2768573347202399,0.2723333333333333,0.015
24,0,No shift,0.9630121798815626,1.0,0.47229520388837787,0.8,0.158573971229163,0.05333333333333334,0.0
24,1,Mild shift,1.060921306935351,1.25,0.7235607082302543,0.8,0.15322570899867263,0.088,0.001
24,2,Moderate shift,1.4787325381084122,1.5,0.9929070402054228,0.8,0.3064841300388267,0.16033333333333333,0.008
24,3,Strong shift,1.8638271812415104,1.8,0.6147054547952411,0.8,0.2740942007562246,0.25566666666666665,0.02
25,0,No shift,1.2502588702369737,1.0,0.5753533388968162,0.8,0.27929273154705814,0.057666666666666665,0.002
25,1,Mild shift,1.3252699690682403,1.25,0.8912390737411996,0.8,0.2541781490555061,0.10166666666666667,0.002
25,2,Moderate shift,1.7316576254640603,1.5,0.8635941251579549,0.8,0.2282493205135402,0.176,0.006
25,3,Strong shift,1.7324199622727467,1.8,0.8498782926042778,0.8,0.27299033134547224,0.284,0.029
26,0,No shift,0.6832261576189039,1.0,1.0493554291942497,0.8,0.19757328407747873,0.051,0.0
26,1,Mild shift,0.9073584905728294,1.25,1.106728919820038,0.8,0.14787242719967386,0.093,0.002
26,2,Moderate shift,1.3894313433099976,1.5,0.9567060670106275,0.8,0.12333314044718445,0.163,0.006
26,3,Strong shift,2.417351460624707,1.8,0.7014350317721395,0.8,0.12273823407558686,0.261,0.024
27,0,No shift,1.1585024103490191,1.0,0.7623393976466711,0.8,0.11485533101736506,0.056666666666666664,0.0
27,1,Mild shift,1.357014688604267,1.25,0.6440057739906473,0.8,0.046914091420290585,0.09633333333333334,0.0
27,2,Moderate shift,1.4330611419627024,1.5,0.7301421041707835,0.8,0.14656800139464554,0.16,0.006
27,3,Strong shift,1.7196065849556028,1.8,0.906850571671341,0.8,0.18631839682414283,0.2663333333333333,0.023
28,0,No shift,1.2792098970065842,1.0,1.1157898850282886,0.8,0.3472057514412964,0.055,0.001
28,1,Mild shift,1.3065011925931815,1.25,1.0303669797130508,0.8,0.2683614609079022,0.095,0.002
28,2,Moderate shift,1.448399108132647,1.5,0.89591577696932,0.8,0.20981550343189379,0.17633333333333334,0.006
28,3,Strong shift,1.6512827617805559,1.8,0.7232520270521097,0.8,0.2180685440553071,0.27566666666666667,0.02
29,0,No shift,1.023238469438002,1.0,0.5903280037497308,0.8,0.24181049766879137,0.05566666666666667,0.001
29,1,Mild shift,1.18738859791221,1.25,0.4186014611309398,0.8,0.3459027608686396,0.09633333333333334,0.001
29,2,Moderate shift,1.3904554559969795,1.5,0.29623909964133077,0.8,0.2735297211399414,0.17133333333333334,0.004
29,3,Strong shift,1.9111914632258706,1.8,1.3470843447189131,0.8,0.3937947283209325,0.2786666666666667,0.022
30,0,No shift,1.1219234212483664,1.0,0.7592071593408243,0.8,0.21849375588861916,0.057,0.0
30,1,Mild shift,1.3046347438204997,1.25,0.9236866418649602,0.8,0.260908297695539,0.102,0.0
30,2,Moderate shift,1.6307193194563445,1.5,0.8211257601974717,0.8,0.21516378942933292,0.181,0.004
30,3,Strong shift,1.734349154208543,1.8,0.7642859648315986,0.8,0.249182063891052,0.2803333333333333,0.012
31,0,No shift,1.1437791444415872,1.0,1.1883309999545264,0.8,0.20479491269900973,0.05533333333333333,0.0
31,1,Mild shift,1.4780541005600891,1.25,1.291132238754299,0.8,0.18463141685774956,0.09366666666666666,0.0
31,2,Moderate shift,1.5973973097091012,1.5,1.1844169232720447,0.8,0.2516506431915395,0.16,0.007
31,3,Strong shift,1.5688936973233418,1.8,0.44119040572759705,0.8,0.26505249861738395,0.263,0.018
32,0,No shift,1.3428300342672144,1.0,0.6449560349093638,0.8,0.25397861028355107,0.05433333333333333,0.0
32,1,Mild shift,1.5531540731945503,1.25,0.7239517022649398,0.8,0.22697934981786785,0.097,0.0
32,2,Moderate shift,1.6685324386431664,1.5,0.7340228160320189,0.8,0.25242791534316117,0.16833333333333333,0.002
32,3,Strong shift,1.4744473989577547,1.8,0.9554803920737677,0.8,0.2819508542595856,0.2693333333333333,0.019
33,0,No shift,0.4791278158674638,1.0,1.040292886094555,0.8,0.28919752428243056,0.057,0.0
33,1,Mild shift,1.1183374180944057,1.25,0.8398591378961848,0.8,0.30027350956915566,0.10133333333333333,0.0
33,2,Moderate shift,1.2982494425842945,1.5,0.9779989602259251,0.8,0.24289347225037458,0.16566666666666666,0.002
33,3,Strong shift,1.954542482857867,1.8,0.593140224023148,0.8,0.22139925778071887,0.268,0.018
34,0,No shift,1.0220935511655742,1.0,1.0797016237679868,0.8,0.17946258129473397,0.050333333333333334,0.0
34,1,Mild shift,1.2729356235560318,1.25,1.044261083891381,0.8,0.11490309173393298,0.088,0.0
34,2,Moderate shift,1.4896480687767755,1.5,0.8409574400906294,0.8,0.21161090614210226,0.16233333333333333,0.003
34,3,Strong shift,1.9114778644415826,1.8,0.7073362086659314,0.8,0.13970927093846977,0.26766666666666666,0.017
35,0,No shift,0.8829815371226774,1.0,0.4296379146706847,0.8,0.2151548240848023,0.05566666666666667,0.0
35,1,Mild shift,1.0661067748421404,1.25,0.5950941746740172,0.8,0.16402251422016603,0.098,0.0
35,2,Moderate shift,1.1379890218286863,1.5,0.9185404003944592,0.8,0.1872635209157978,0.16533333333333333,0.005
35,3,Strong shift,2.3245121821374517,1.8,0.6962841598526196,0.8,0.1638767361089615,0.26566666666666666,0.01
36,0,No shift,1.2844038418625467,1.0,0.7820740306536063,0.8,0.14419326812066677,0.050333333333333334,0.0
36,1,Mild shift,1.4518103570272685,1.25,0.7249852257188172,0.8,0.07405070682376631,0.089,0.001
36,2,Moderate shift,1.8699721343417286,1.5,0.6943286975927354,0.8,0.14590598818486453,0.161,0.005
36,3,Strong shift,1.4627974532947199,1.8,0.7880014979617035,0.8,0.07295801322735188,0.262,0.018
37,0,No shift,0.961903509501201,1.0,0.9114254753072617,0.8,0.23761052039664932,0.06233333333333333,0.0
37,1,Mild shift,1.2526468388360075,1.25,0.6213400857774868,0.8,0.2070683544013275,0.10333333333333333,0.001
37,2,Moderate shift,1.6422582018300007,1.5,0.6999849039402782,0.8,0.26287364262206286,0.17466666666666666,0.01
37,3,Strong shift,1.6818870077483847,1.8,0.8596892725789531,0.8,0.24180245325398309,0.27666666666666667,0.024
38,0,No shift,0.9507770509563801,1.0,1.097425592166677,0.8,0.043572311764199574,0.051333333333333335,0.0
38,1,Mild shift,1.1754652528326501,1.25,0.9545563204674299,0.8,0.14720282492907374,0.08866666666666667,0.002
38,2,Moderate shift,1.5881266438661013,1.5,1.0688586412228,0.8,0.12292804053786945,0.159,0.006
38,3,Strong shift,1.7902943393755453,1.8,0.7347515206391703,0.8,0.1919449970135037,0.25866666666666666,0.026
39,0,No shift,1.091745609412981,1.0,0.6178828560395796,0.8,0.17872716307897135,0.05,0.0
