file,level,method,metric,value_v1,value_v2,absolute_difference,reported_v1,reported_v2,changes_at_reported_precision
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=1.5,difference_definition=causal SCM minus comparator | comparator=Renal-adjusted associative latent class model,expected_calibration_error,-0.0017037600450003,-0.0017037600450003,0.0,-0.0017,-0.0017,False
outputs_latent_endotyping/paired_contrasts.csv,renal_effect_sd=1.5,difference_definition=causal SCM minus comparator | comparator=Renal-adjusted associative latent class model,false_atrial_renal_competing,-0.0123354061393027,-0.0123354061393027,0.0,-1.23,-1.23,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.0,method=Associative latent class model,accuracy,0.820842,0.820842,0.0,82.1,82.1,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.0,method=Associative latent class model,adjusted_rand_index,0.411929111997122,0.411929111997122,0.0,0.412,0.412,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.0,method=Associative latent class model,brier_score,0.1259538382162189,0.1259538382162189,0.0,0.126,0.126,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.0,method=Associative latent class model,expected_calibration_error,0.043188255194732,0.043188255194732,0.0,0.0432,0.0432,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.0,method=Associative latent class model,false_atrial_renal_competing,0.1778614159385344,0.1778614159385344,0.0,17.8,17.8,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.0,method=Associative latent class model,mean_posterior_entropy,0.3727987176566876,0.3727987176566877,1.1102230246251565e-16,,,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.0,method=Associative latent class model,predicted_atrial_prevalence,0.498314,0.498314,0.0,49.8,49.8,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.0,method=Biologically constrained latent SCM,accuracy,0.8202919999999999,0.8202919999999999,0.0,82.0,82.0,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.0,method=Biologically constrained latent SCM,adjusted_rand_index,0.4104881208462873,0.4104881208462873,0.0,0.41,0.41,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.0,method=Biologically constrained latent SCM,brier_score,0.1264085940707216,0.1264085940707216,0.0,0.1264,0.1264,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.0,method=Biologically constrained latent SCM,expected_calibration_error,0.0436873414042838,0.0436873414042838,0.0,0.0437,0.0437,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.0,method=Biologically constrained latent SCM,false_atrial_renal_competing,0.1782602194449772,0.1782602194449772,0.0,17.8,17.8,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.0,method=Biologically constrained latent SCM,mean_posterior_entropy,0.3718908037351072,0.3718908037351072,0.0,,,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.0,method=Biologically constrained latent SCM,predicted_atrial_prevalence,0.4978720000000001,0.4978720000000001,0.0,49.8,49.8,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.0,method=Data-generating oracle (reference),accuracy,0.8274559999999999,0.8274559999999999,0.0,82.7,82.7,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.0,method=Data-generating oracle (reference),adjusted_rand_index,0.4289345283251524,0.4289345283251524,0.0,0.429,0.429,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.0,method=Data-generating oracle (reference),brier_score,0.1215184181076285,0.1215184181076285,0.0,0.1215,0.1215,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.0,method=Data-generating oracle (reference),expected_calibration_error,0.0277912470889101,0.0277912470889101,0.0,0.0278,0.0278,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.0,method=Data-generating oracle (reference),false_atrial_renal_competing,0.1736652550437696,0.1736652550437696,0.0,17.4,17.4,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.0,method=Data-generating oracle (reference),mean_posterior_entropy,0.3818351453875611,0.3818351453875611,0.0,,,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.0,method=Data-generating oracle (reference),predicted_atrial_prevalence,0.500036,0.500036,0.0,50.0,50.0,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.0,method=Renal-adjusted associative latent class model,accuracy,0.816722,0.816722,0.0,81.7,81.7,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.0,method=Renal-adjusted associative latent class model,adjusted_rand_index,0.4016356034777701,0.4016356034777701,0.0,0.402,0.402,False
outputs_latent_endotyping/recovery_summary.csv,renal_effect_sd=0.0,method=Renal-adjusted associative latent class model,brier_score,0.1288400979073886,0.1288400979073886,0.0,0.1288,0.1288,False
