heart_failure_effect_sd,comparator,metric,difference_definition,repeat_count,mean_difference,ci95_low,ci95_high
0.32,Two-path latent SCM (counterfactual query),brier_score,causal SCM minus comparator,500,-0.020008501722659205,-0.02048219655920691,-0.0195348068861115
0.32,Two-path latent SCM (counterfactual query),expected_calibration_error,causal SCM minus comparator,500,-0.07624467853392686,-0.07806092453227872,-0.07442843253557499
0.32,Two-path latent SCM (counterfactual query),accuracy__heart_failure_only,causal SCM minus comparator,500,-0.003826070831437412,-0.0054232235364141245,-0.0022289181264606994
0.32,Two-path latent SCM (counterfactual query),accuracy__redundant,causal SCM minus comparator,500,-0.005139258750851159,-0.009602140039717108,-0.0006763774619852093
0.32,Two-path latent SCM (counterfactual query),accuracy__renal_only,causal SCM minus comparator,500,-0.005487424447477253,-0.006755766061646547,-0.004219082833307958
0.32,Two-path latent SCM (counterfactual query),accuracy__uncomplicated,causal SCM minus comparator,500,-0.002965541831565784,-0.0035383103510738876,-0.0023927733120576804
0.32,Two-path latent SCM (counterfactual query),false_atrial__heart_failure_only,causal SCM minus comparator,500,0.007083673753352329,0.003939170261958237,0.01022817724474642
0.32,Two-path latent SCM (counterfactual query),false_atrial__redundant,causal SCM minus comparator,499,-0.006093564816273392,-0.011922299196507715,-0.0002648304360390683
0.32,Two-path latent SCM (counterfactual query),false_atrial__renal_only,causal SCM minus comparator,500,-0.0031111053034334813,-0.005996322146164436,-0.00022588846070252695
0.32,Two-path latent SCM (counterfactual query),false_atrial__uncomplicated,causal SCM minus comparator,500,0.0055177272025217885,0.0034372893762298065,0.00759816502881377
0.32,Two-path latent SCM (counterfactual query),mean_posterior_entropy__heart_failure_only,causal SCM minus comparator,500,0.24443978459529817,0.24146336189295617,0.24741620729764016
0.32,Two-path latent SCM (counterfactual query),mean_posterior_entropy__redundant,causal SCM minus comparator,500,0.24814378170870202,0.24272993924601527,0.2535576241713888
0.32,Two-path latent SCM (counterfactual query),mean_posterior_entropy__renal_only,causal SCM minus comparator,500,0.24340664790693853,0.24093569836804812,0.24587759744582893
0.32,Two-path latent SCM (counterfactual query),mean_posterior_entropy__uncomplicated,causal SCM minus comparator,500,0.24403270187910778,0.24181936896362163,0.24624603479459392
0.65,Associative latent class model,accuracy,causal SCM minus comparator,500,0.014638423645320194,0.01339413810727732,0.01588270918336307
0.65,Associative latent class model,adjusted_rand_index,causal SCM minus comparator,500,0.03624097340716911,0.03320491436630121,0.03927703244803701
0.65,Associative latent class model,false_atrial_renal_competing,causal SCM minus comparator,500,-0.2276478308883832,-0.2361629694299262,-0.21913269234684019
0.65,Associative latent class model,brier_score,causal SCM minus comparator,500,-0.010079030980634078,-0.010827128287745767,-0.00933093367352239
0.65,Associative latent class model,expected_calibration_error,causal SCM minus comparator,500,-0.006392445164254589,-0.008088363928659754,-0.004696526399849424
0.65,Associative latent class model,accuracy__heart_failure_only,causal SCM minus comparator,500,0.0060196986398647085,0.0025196857978260307,0.009519711481903385
0.65,Associative latent class model,accuracy__redundant,causal SCM minus comparator,500,0.09655319730605166,0.08335942130138732,0.109746973310716
0.65,Associative latent class model,accuracy__renal_only,causal SCM minus comparator,500,0.04048616971224102,0.036399622054360356,0.04457271737012168
0.65,Associative latent class model,accuracy__uncomplicated,causal SCM minus comparator,500,0.007401656019543274,0.0060293965133286186,0.008773915525757929
0.65,Associative latent class model,false_atrial__heart_failure_only,causal SCM minus comparator,500,-0.06952569564559971,-0.0762593423596318,-0.06279204893156762
0.65,Associative latent class model,false_atrial__redundant,causal SCM minus comparator,499,-0.3764674036718125,-0.3960581352526713,-0.35687667209095364
0.65,Associative latent class model,false_atrial__renal_only,causal SCM minus comparator,500,-0.21683865744447214,-0.22527946141401314,-0.20839785347493114
0.65,Associative latent class model,false_atrial__uncomplicated,causal SCM minus comparator,500,0.04427108900738109,0.04155997024024613,0.04698220777451605
0.65,Associative latent class model,mean_posterior_entropy__heart_failure_only,causal SCM minus comparator,500,-0.0037963163429112086,-0.0052910493555782265,-0.0023015833302441908
0.65,Associative latent class model,mean_posterior_entropy__redundant,causal SCM minus comparator,500,0.05332307295310275,0.04497646440267263,0.061669681503532865
0.65,Associative latent class model,mean_posterior_entropy__renal_only,causal SCM minus comparator,500,0.011117022979277004,0.008684954532351652,0.013549091426202356
0.65,Associative latent class model,mean_posterior_entropy__uncomplicated,causal SCM minus comparator,500,-0.005053600730503145,-0.006020393631493344,-0.004086807829512946
0.65,Renal-adjusted associative latent class model,accuracy,causal SCM minus comparator,500,0.003745812807881772,0.002926330301164458,0.004565295314599086
0.65,Renal-adjusted associative latent class model,adjusted_rand_index,causal SCM minus comparator,500,0.009320665541608044,0.007288348255122812,0.011352982828093276
0.65,Renal-adjusted associative latent class model,false_atrial_renal_competing,causal SCM minus comparator,500,-0.038205974961178134,-0.04785600680217236,-0.028555943120183905
0.65,Renal-adjusted associative latent class model,brier_score,causal SCM minus comparator,500,-0.0028939532023892775,-0.0033663096462428427,-0.0024215967585357124
0.65,Renal-adjusted associative latent class model,expected_calibration_error,causal SCM minus comparator,500,-0.0007563161616543297,-0.001797431899383513,0.0002847995760748536
0.65,Renal-adjusted associative latent class model,accuracy__heart_failure_only,causal SCM minus comparator,500,0.009325358321446903,0.005459835091224398,0.013190881551669406
0.65,Renal-adjusted associative latent class model,accuracy__redundant,causal SCM minus comparator,500,0.029890591551999548,0.020193227768017512,0.039587955335981584
0.65,Renal-adjusted associative latent class model,accuracy__renal_only,causal SCM minus comparator,500,0.01266931767427258,0.00955848294281346,0.0157801524057317
0.65,Renal-adjusted associative latent class model,accuracy__uncomplicated,causal SCM minus comparator,500,0.000695610628996248,3.3279660135283125e-05,0.001357941597857213
0.65,Renal-adjusted associative latent class model,false_atrial__heart_failure_only,causal SCM minus comparator,500,-0.09522537863995786,-0.1020441776167238,-0.08840657966319193
0.65,Renal-adjusted associative latent class model,false_atrial__redundant,causal SCM minus comparator,499,-0.1405758236419559,-0.15768095081505257,-0.12347069646885922
0.65,Renal-adjusted associative latent class model,false_atrial__renal_only,causal SCM minus comparator,500,-0.030950932417828928,-0.04053023188636869,-0.02137163294928917
0.65,Renal-adjusted associative latent class model,false_atrial__uncomplicated,causal SCM minus comparator,500,0.013352327105629138,0.011184377094929173,0.015520277116329103
0.65,Renal-adjusted associative latent class model,mean_posterior_entropy__heart_failure_only,causal SCM minus comparator,500,0.0023589510071792296,0.0009244339463887366,0.0037934680679697227
0.65,Renal-adjusted associative latent class model,mean_posterior_entropy__redundant,causal SCM minus comparator,500,0.011070511452091697,0.006268967212443189,0.015872055691740206
0.65,Renal-adjusted associative latent class model,mean_posterior_entropy__renal_only,causal SCM minus comparator,500,0.0028559054454097197,0.001088250818899052,0.004623560071920388
0.65,Renal-adjusted associative latent class model,mean_posterior_entropy__uncomplicated,causal SCM minus comparator,500,-0.003242137939236492,-0.0037507148992689046,-0.0027335609792040793
0.65,Two-nuisance adjusted associative latent model,accuracy,causal SCM minus comparator,500,0.002624630541871917,0.0018825040885773318,0.003366756995166502
0.65,Two-nuisance adjusted associative latent model,adjusted_rand_index,causal SCM minus comparator,500,0.006523049735559978,0.004671519939637576,0.00837457953148238
0.65,Two-nuisance adjusted associative latent model,false_atrial_renal_competing,causal SCM minus comparator,500,-0.03593301279819273,-0.04536198646802325,-0.026504039128362203
0.65,Two-nuisance adjusted associative latent model,brier_score,causal SCM minus comparator,500,-0.0022067275058680717,-0.0026491607931376088,-0.0017642942185985345
0.65,Two-nuisance adjusted associative latent model,expected_calibration_error,causal SCM minus comparator,500,-0.0008405695501896665,-0.0017756432346528136,9.450413427348049e-05
