heart_failure_effect_sd,method,metric,repeat_count,mean,sample_sd,monte_carlo_standard_error,ci95_low,ci95_high,repeat_quantile_2_5,repeat_quantile_97_5
0.0,Two-path biologically constrained latent SCM,subgroup_size__redundant,500,13.86,3.771053126563816,0.1686466227551962,13.528655023582056,14.191344976417943,7.475000000000001,22.0
0.0,Two-path biologically constrained latent SCM,competing_subgroup_size__redundant,500,6.862,2.6261663121359997,0.11744572788312052,6.631250926582093,7.092749073417907,2.0,12.0
0.0,Two-path latent SCM (counterfactual query),accuracy,500,0.8229418719211823,0.012472951443705407,0.0005578073461635886,0.8218459314336659,0.8240378124086987,0.7984975369458128,0.8483251231527092
0.0,Two-path latent SCM (counterfactual query),adjusted_rand_index,500,0.41721238317660964,0.032258096174094114,0.0014426259174000066,0.4143780136364933,0.420046752716726,0.35576957463069925,0.48479606019916716
0.0,Two-path latent SCM (counterfactual query),false_atrial_renal_competing,500,0.16678679921983638,0.04845077925243294,0.0021667847194255297,0.16252965359763807,0.1710439448420347,0.07995492552913509,0.2660204081632653
0.0,Two-path latent SCM (counterfactual query),brier_score,500,0.14665916444966995,0.010143934258546223,0.0004536505312279656,0.1457678639177292,0.1475504649816107,0.12655408446054794,0.16634070023442676
0.0,Two-path latent SCM (counterfactual query),expected_calibration_error,500,0.12017495229464017,0.011479647949838257,0.0005133854634720887,0.11916628878565073,0.12118361580362962,0.09995184243252488,0.14143688800783458
0.0,Two-path latent SCM (counterfactual query),mean_posterior_entropy,500,0.1291935274390359,0.010697231096355283,0.00047839471804950027,0.12825361127599078,0.130133443602081,0.10855523917371833,0.15033204072078699
0.0,Two-path latent SCM (counterfactual query),predicted_atrial_prevalence,500,0.49776748768472906,0.028506083916014825,0.001274830828170451,0.49526279008808544,0.5002721852813727,0.43935960591133005,0.5557142857142856
0.0,Two-path latent SCM (counterfactual query),renal_competing_subgroup_size,500,101.17,9.425645101060313,0.4215276635551747,100.34181221029878,101.99818778970122,83.0,119.0
0.0,Two-path latent SCM (counterfactual query),accuracy__uncomplicated,500,0.8231960575674652,0.014105799734296251,0.0006308305416576977,0.8219566462615376,0.8244354688733927,0.7956836468927786,0.8511682242990654
0.0,Two-path latent SCM (counterfactual query),false_atrial__uncomplicated,500,0.17819942508959857,0.03121612266194673,0.0013960274453216914,0.17545660893714962,0.18094224124204752,0.12022196454007315,0.24523809523809514
0.0,Two-path latent SCM (counterfactual query),mean_posterior_entropy__uncomplicated,500,0.12919152115029658,0.011481642018668555,0.0005134746409412159,0.12818268243171255,0.13020035986888062,0.10747879101611922,0.15065389704612828
0.0,Two-path latent SCM (counterfactual query),subgroup_size__uncomplicated,500,756.674,13.865649515004549,0.6200906973547432,755.4556895818291,757.8923104181708,729.475,783.525
0.0,Two-path latent SCM (counterfactual query),competing_subgroup_size__uncomplicated,500,379.066,15.033351166476129,0.6723119027573276,377.7450890447418,380.38691095525814,351.0,409.525
0.0,Two-path latent SCM (counterfactual query),accuracy__renal_only,500,0.8216704152765563,0.02811466567236465,0.0012573260721617438,0.819200109788525,0.8241407207645876,0.7639263734402348,0.8732160653777158
0.0,Two-path latent SCM (counterfactual query),false_atrial__renal_only,500,0.1663623015251809,0.04956382264984596,0.0022165615333959864,0.16200735793358512,0.17071724511677666,0.07522267206477733,0.26707364341085266
0.0,Two-path latent SCM (counterfactual query),mean_posterior_entropy__renal_only,500,0.12913555554923556,0.01819623065458713,0.0008137601735584462,0.12753673701903007,0.13073437407944105,0.09306275506547032,0.16343715329721115
0.0,Two-path latent SCM (counterfactual query),subgroup_size__renal_only,500,187.32,12.180407409003143,0.5447243792034622,186.24976400219145,188.39023599780853,164.0,210.0
0.0,Two-path latent SCM (counterfactual query),competing_subgroup_size__renal_only,500,94.308,9.03972174009115,0.4042686461705299,93.51372150901398,95.10227849098604,77.475,111.0
0.0,Two-path latent SCM (counterfactual query),accuracy__heart_failure_only,500,0.8245687379360339,0.050405998781164175,0.0022542247949690927,0.820139796227465,0.8289976796446028,0.7142857142857143,0.9152542372881356
0.0,Two-path latent SCM (counterfactual query),false_atrial__heart_failure_only,500,0.17597252792098328,0.08432619435369904,0.0037711820571746,0.16856317569448703,0.18338188014747953,0.03333333333333333,0.3470317725752508
0.0,Two-path latent SCM (counterfactual query),mean_posterior_entropy__heart_failure_only,500,0.1291694205451914,0.032613405557932414,0.0014585158361061267,0.12630383161477274,0.13203500947561006,0.07022594789613221,0.1989773309298426
0.0,Two-path latent SCM (counterfactual query),subgroup_size__heart_failure_only,500,57.146,7.3192778096824975,0.32732805457311664,56.50288895068538,57.78911104931462,43.0,72.0
0.0,Two-path latent SCM (counterfactual query),competing_subgroup_size__heart_failure_only,500,28.636,5.351334184585207,0.2393189401410186,28.16580304448492,29.106196955515077,19.0,39.0
0.0,Two-path latent SCM (counterfactual query),accuracy__redundant,500,0.8181705703486871,0.10633749506613382,0.0047555573504984745,0.8088271870516354,0.8275139536457389,0.6,1.0
0.0,Two-path latent SCM (counterfactual query),false_atrial__redundant,500,0.1789080586080586,0.17092716701967597,0.007644095293149112,0.16388947991809807,0.19392663729801915,0.0,0.5864285714285707
0.0,Two-path latent SCM (counterfactual query),mean_posterior_entropy__redundant,500,0.12836479510589358,0.06657019284084312,0.002977109529347901,0.1225155805133943,0.13421400969839284,0.0,0.2709716834223001
0.0,Two-path latent SCM (counterfactual query),subgroup_size__redundant,500,13.86,3.771053126563816,0.1686466227551962,13.528655023582056,14.191344976417943,7.475000000000001,22.0
0.0,Two-path latent SCM (counterfactual query),competing_subgroup_size__redundant,500,6.862,2.6261663121359997,0.11744572788312052,6.631250926582093,7.092749073417907,2.0,12.0
0.32,Associative latent class model,accuracy,500,0.807215763546798,0.01719272719415751,0.0007688821344949084,0.8057051182189505,0.8087264088746455,0.7704433497536946,0.8389408866995074
0.32,Associative latent class model,adjusted_rand_index,500,0.37809228263018885,0.04201032416899476,0.0018787588119734927,0.3744010299737275,0.3817835352866502,0.29188347671427567,0.45898909134461224
0.32,Associative latent class model,false_atrial_renal_competing,500,0.3890562716205003,0.1107815962246307,0.0049543035962841655,0.37932240573300496,0.3987901375079957,0.19311868686868686,0.6275604922820192
0.32,Associative latent class model,brier_score,500,0.13528436717996117,0.010919463416046282,0.000488333249522031,0.13432492449202874,0.1362438098678936,0.11570958569596031,0.16004531424616258
0.32,Associative latent class model,expected_calibration_error,500,0.05055548170337201,0.021870538458670326,0.0009780802139622063,0.048633818760256964,0.05247714464648706,0.021137412266133915,0.10371315033157368
0.32,Associative latent class model,mean_posterior_entropy,500,0.3709192584181253,0.01987250592596886,0.0008887254826746754,0.3691731533417947,0.3726653634944559,0.33318118874281294,0.40902569944710704
0.32,Associative latent class model,predicted_atrial_prevalence,500,0.5014679802955665,0.05131565350688995,0.002294905791024628,0.4969591114383926,0.5059768491527403,0.3964778325123153,0.6005172413793103
