repeat,renal_effect_sd,method,accuracy,adjusted_rand_index,false_atrial_renal_competing,brier_score,expected_calibration_error,mean_posterior_entropy,predicted_atrial_prevalence,renal_competing_subgroup_size
362,0.9,Two-path latent SCM (counterfactual query),0.8177339901477833,0.40304146794350426,0.12037037037037036,0.14654913188913116,0.12051374853692923,0.14599594391648807,0.4,108
362,0.9,Data-generating oracle (reference),0.8305418719211822,0.4364621861115583,0.1388888888888889,0.12183714718598965,0.026280325254341444,0.39066663707947574,0.46798029556650245,108
363,0.9,Associative latent class model,0.7389162561576355,0.22753396454449906,0.8467741935483871,0.19661821154600953,0.11238091527555125,0.3456927857370967,0.5674876847290641,124
363,0.9,Renal-adjusted associative latent class model,0.7812807881773399,0.31573865632184606,0.532258064516129,0.15664327398206718,0.12753655479855916,0.383932006062032,0.6039408866995074,124
363,0.9,Two-nuisance adjusted associative latent model,0.7773399014778325,0.3069257640012943,0.5483870967741935,0.157241430272331,0.12441018167305595,0.38495252653715206,0.6019704433497537,124
363,0.9,Two-path biologically constrained latent SCM,0.7931034482758621,0.34293994022128055,0.3548387096774194,0.1417936328842297,0.10990993977909086,0.398515134628813,0.5960591133004927,124
363,0.9,Two-path latent SCM (counterfactual query),0.7990147783251231,0.3569917093142162,0.33064516129032256,0.16804942479654456,0.15130030331083827,0.1138668595899185,0.5527093596059113,124
363,0.9,Data-generating oracle (reference),0.8137931034482758,0.39326704623369113,0.24193548387096775,0.12421556147085468,0.023330734291988366,0.3803147049705137,0.48669950738916257,124
364,0.9,Associative latent class model,0.7773399014778325,0.3069863192174029,0.5876288659793815,0.16166900537075413,0.07568625044833358,0.3417008378308857,0.4995073891625616,97
364,0.9,Renal-adjusted associative latent class model,0.8157635467980295,0.39823377643004026,0.24742268041237114,0.12936387605768135,0.02998857543142091,0.3720035671252381,0.5182266009852217,97
364,0.9,Two-nuisance adjusted associative latent model,0.8157635467980295,0.39823377643004026,0.24742268041237114,0.12902363903850192,0.027874637144747447,0.3725550159466685,0.5182266009852217,97
364,0.9,Two-path biologically constrained latent SCM,0.8157635467980295,0.3982343005570265,0.23711340206185566,0.12844799679476138,0.028356696546491797,0.3740822597671938,0.5241379310344828,97
364,0.9,Two-path latent SCM (counterfactual query),0.8118226600985222,0.38833089390613,0.23711340206185566,0.15050168152344143,0.12226567345861596,0.13841790833876683,0.516256157635468,97
364,0.9,Data-generating oracle (reference),0.819704433497537,0.4082607417689964,0.21649484536082475,0.12880003979507612,0.017138165078567278,0.390498510375794,0.516256157635468,97
365,0.9,Associative latent class model,0.8118226600985222,0.3883318933322291,0.3238095238095238,0.13479371025142728,0.04285285465630004,0.38261400837765697,0.5270935960591133,105
365,0.9,Renal-adjusted associative latent class model,0.8039408866995074,0.36889858738286146,0.13333333333333333,0.1286083755473167,0.03702385251429985,0.3638951488611908,0.5172413793103449,105
365,0.9,Two-nuisance adjusted associative latent model,0.8029556650246306,0.36650431326233024,0.13333333333333333,0.1288227679961566,0.04080886034143152,0.36405708955734983,0.5142857142857142,105
365,0.9,Two-path biologically constrained latent SCM,0.7980295566502463,0.3546506249738344,0.10476190476190476,0.13022736665767498,0.04660704264241644,0.36325929376670957,0.5152709359605911,105
365,0.9,Two-path latent SCM (counterfactual query),0.8118226600985222,0.3883303446333708,0.13333333333333333,0.1480862125622133,0.11993316785833044,0.15484546320934967,0.4975369458128079,105
365,0.9,Data-generating oracle (reference),0.8246305418719212,0.42096972872256105,0.14285714285714285,0.12469476056542818,0.032200614159968166,0.38368712709620784,0.4807881773399015,105
366,0.9,Associative latent class model,0.7842364532019704,0.32239728439371085,0.5841584158415841,0.14884290448541224,0.056609919552732535,0.3890100238774121,0.5694581280788177,101
366,0.9,Renal-adjusted associative latent class model,0.8029556650246306,0.36643199652090147,0.13861386138613863,0.13072844538956715,0.02907230453686624,0.378592352390903,0.5625615763546798,101
366,0.9,Two-nuisance adjusted associative latent model,0.8078817733990148,0.3784929179388743,0.1485148514851485,0.13027441351131877,0.03316267839039767,0.3794988030692057,0.5576354679802956,101
366,0.9,Two-path biologically constrained latent SCM,0.8059113300492611,0.3736309569574027,0.13861386138613863,0.1310114736264718,0.030100390749051117,0.3773689959592708,0.5655172413793104,101
366,0.9,Two-path latent SCM (counterfactual query),0.8088669950738916,0.38096095287162757,0.13861386138613863,0.154437505046928,0.1298125411219992,0.1374033892472542,0.5389162561576355,101
366,0.9,Data-generating oracle (reference),0.8059113300492611,0.37371393938403463,0.12871287128712872,0.13212742488667142,0.04606967203675604,0.39162657793191247,0.5064039408866995,101
367,0.9,Associative latent class model,0.8236453201970443,0.41841237729853675,0.5172413793103449,0.12247687646976324,0.03619341969330716,0.35993367593382114,0.5182266009852217,116
367,0.9,Renal-adjusted associative latent class model,0.8502463054187193,0.4901873004633134,0.1724137931034483,0.11017437746970596,0.020920548918337955,0.35324787448271316,0.50935960591133,116
367,0.9,Two-nuisance adjusted associative latent model,0.8522167487684729,0.4957294998555609,0.1724137931034483,0.11052938017087877,0.029435036923273997,0.35325963535234667,0.5113300492610837,116
367,0.9,Two-path biologically constrained latent SCM,0.8541871921182266,0.5013035110851513,0.20689655172413793,0.1109765970811134,0.02989574881355555,0.353203498973273,0.5231527093596059,116
367,0.9,Two-path latent SCM (counterfactual query),0.8512315270935961,0.49295451196260665,0.1724137931034483,0.12561462693774403,0.09525157942775503,0.12537340898346375,0.5103448275862069,116
367,0.9,Data-generating oracle (reference),0.8532019704433498,0.4985123140021086,0.14655172413793102,0.10585126050139142,0.030281201598374153,0.375140537938319,0.48669950738916257,116
368,0.9,Associative latent class model,0.7950738916256158,0.3476318125574467,0.5384615384615384,0.1457069478806313,0.041377933680131276,0.3824764982359614,0.46502463054187193,104
368,0.9,Renal-adjusted associative latent class model,0.819704433497537,0.40826078644132213,0.2980769230769231,0.12655171724017447,0.02557911207393984,0.39141624143109804,0.46995073891625616,104
368,0.9,Two-nuisance adjusted associative latent model,0.8246305418719212,0.42096960028645836,0.23076923076923078,0.12448796691279991,0.024873012051638232,0.3930723470586448,0.46502463054187193,104
368,0.9,Two-path biologically constrained latent SCM,0.8206896551724138,0.4107874979758127,0.07692307692307693,0.1282806765555792,0.045615913038692744,0.39202607046940763,0.4295566502463054,104
368,0.9,Two-path latent SCM (counterfactual query),0.8236453201970443,0.4184122912787295,0.14423076923076922,0.14687145692898043,0.12104128747120968,0.11966935655538818,0.4660098522167488,104
368,0.9,Data-generating oracle (reference),0.8285714285714286,0.4312765166120379,0.14423076923076922,0.12113675627940494,0.02507515647833888,0.37831016870904727,0.4669950738916256,104
369,0.9,Associative latent class model,0.7694581280788177,0.2897323645188188,0.5607476635514018,0.16403558926476527,0.08224684353196679,0.3688143664234535,0.4640394088669951,107
369,0.9,Renal-adjusted associative latent class model,0.8157635467980295,0.39823332993562716,0.2897196261682243,0.13154814975263032,0.021146905893072544,0.38751210213007065,0.496551724137931,107
369,0.9,Two-nuisance adjusted associative latent model,0.8137931034482758,0.3932664603550841,0.2897196261682243,0.1323723317518732,0.01999020678489226,0.38803682957112856,0.49261083743842365,107
