repeat,method,converged,iterations,best_start,log_likelihood,minimum_effective_class_fraction,anchor_margin
83,Target-calibrated associative latent model,True,24,3,-7696.112781636657,0.4751722824124475,1.894637776493653
83,Modular causal latent SCM,True,21,1,-7702.132659922773,0.48047758447475025,1.8706212257852641
84,Pooled associative latent class model,True,31,1,-8067.613451987919,0.49053125359560074,1.893233021852075
84,Target-calibrated associative latent model,True,25,1,-7837.841000990873,0.4781060740431612,1.9729570980208964
84,Modular causal latent SCM,True,25,1,-7843.209911764459,0.4770078305719407,1.9656388648949072
85,Pooled associative latent class model,True,26,1,-7947.774642685095,0.4736574990765378,1.9941091063498484
85,Target-calibrated associative latent model,True,23,2,-7735.598804132352,0.4925108843357056,1.9705087936958163
85,Modular causal latent SCM,True,23,1,-7744.130561348041,0.4872158561430463,1.951901340718522
86,Pooled associative latent class model,True,16,0,-8026.3979845568865,0.4883096418342316,2.043763022380828
86,Target-calibrated associative latent model,True,16,3,-7798.256872503451,0.4810208362424012,2.1103211023134505
86,Modular causal latent SCM,True,18,2,-7800.122728770688,0.4794637762322769,2.1007053819023933
87,Pooled associative latent class model,True,39,2,-7999.364840440827,0.4494978468119131,1.9827167695863515
87,Target-calibrated associative latent model,True,21,2,-7766.29857675711,0.48230096550778767,2.0485996980606664
87,Modular causal latent SCM,True,24,2,-7773.268577522171,0.4720614805968141,2.058797449708747
88,Pooled associative latent class model,True,24,2,-7974.607195483231,0.4772615395104996,1.9147531025641589
88,Target-calibrated associative latent model,True,24,3,-7739.307083512349,0.4783872758145618,1.9566457539957454
88,Modular causal latent SCM,True,21,1,-7744.908567076627,0.485360512389506,1.9407077807990358
89,Pooled associative latent class model,True,19,2,-7933.540403067805,0.49356210710172377,1.9153818177597675
89,Target-calibrated associative latent model,True,25,3,-7718.976358300176,0.49904453787423214,1.981812348216648
89,Modular causal latent SCM,True,17,0,-7723.137922286365,0.4995166511073633,1.9894406081963445
90,Pooled associative latent class model,True,27,2,-7897.669575921338,0.475922385619156,1.806003307492354
90,Target-calibrated associative latent model,True,20,0,-7710.886005099613,0.48674805236157864,1.9160595505931666
90,Modular causal latent SCM,True,20,0,-7713.208486439376,0.4882304308955548,1.913539909509869
91,Pooled associative latent class model,True,18,2,-8045.4162426262465,0.48853916776851497,2.023572116414778
91,Target-calibrated associative latent model,True,14,0,-7794.361423726688,0.4892583491420374,2.21615112294901
91,Modular causal latent SCM,True,14,0,-7800.211721154158,0.4911156774433097,2.215287441677062
92,Pooled associative latent class model,True,21,1,-8039.642369677886,0.4795419700337345,1.878392552884783
92,Target-calibrated associative latent model,True,26,0,-7799.565300205559,0.44757081770768714,1.9595070444728084
92,Modular causal latent SCM,True,26,1,-7809.363859596981,0.4540850997401869,1.9611871956568403
93,Pooled associative latent class model,True,19,3,-8077.130315680487,0.48398383711279247,2.01620365685925
93,Target-calibrated associative latent model,True,21,1,-7831.5891336358145,0.48197238955599736,2.050900441841783
93,Modular causal latent SCM,True,21,1,-7832.780162343124,0.4794322312475879,2.0753818237073443
94,Pooled associative latent class model,True,17,0,-7889.797934048546,0.4883773336948143,2.0553074071928426
94,Target-calibrated associative latent model,True,22,1,-7655.761585258559,0.4845225661777419,2.127981856665414
94,Modular causal latent SCM,True,15,3,-7658.0047800521,0.48736837942997147,2.1265217775019956
95,Pooled associative latent class model,True,16,0,-8008.249434194884,0.49118036562836664,2.059662735218389
95,Target-calibrated associative latent model,True,16,0,-7790.134086943957,0.4925830171915912,2.0776908147109605
95,Modular causal latent SCM,True,16,0,-7794.442861995816,0.493121223211841,2.077000260311625
96,Pooled associative latent class model,True,19,1,-8070.331064194073,0.4682939083496708,1.7338791944083616
96,Target-calibrated associative latent model,True,23,3,-7827.485839092236,0.46858710868290315,1.8750250837161984
96,Modular causal latent SCM,True,23,0,-7840.834177888594,0.4640162696972296,1.8631390021349916
97,Pooled associative latent class model,True,22,0,-7995.781219759443,0.48722315539015754,1.7628058820985097
97,Target-calibrated associative latent model,True,10,3,-7758.230070717026,0.4982611085928311,1.7234656693801003
97,Modular causal latent SCM,True,17,2,-7761.3575208163575,0.49905633090701296,1.7506809024489258
98,Pooled associative latent class model,True,43,3,-7999.155867061119,0.43173341471604987,2.0948377827140625
98,Target-calibrated associative latent model,True,25,1,-7773.711156496481,0.4612138737977583,2.0974967447767017
98,Modular causal latent SCM,True,25,2,-7776.7938527655515,0.4587504526970312,2.1129700765089665
99,Pooled associative latent class model,True,21,1,-7923.88412781132,0.4582048611019781,1.8754221409084988
