repeat,truth_k,selected_k,select_k2,bic_k1,bic_k2,bic_k2_minus_k1,minimum_k2_weight,k2_converged,k2_iterations
170,1,1,False,8575.028790342403,8618.061447375509,43.03265703310535,0.4915780903784,True,14
171,1,1,False,8533.75692305925,8557.70802845734,23.951105398089567,0.444789187735731,True,51
172,1,1,False,8534.15687268395,8574.341031729968,40.18415904601716,0.4785572712004743,True,22
173,1,1,False,8470.900604756018,8513.977629412262,43.07702465624425,0.4917803588655143,True,27
174,1,1,False,8523.759457603604,8562.944162740272,39.18470513666762,0.4933350466514783,True,12
175,1,1,False,8562.10115104575,8594.525036498999,32.42388545324866,0.48320764007603323,True,41
176,1,1,False,8601.14802262772,8640.993211424637,39.84518879691677,0.4992398470646339,True,24
177,1,1,False,8441.993721628409,8485.226362574773,43.23264094636397,0.4953441768089152,True,39
178,1,1,False,8660.740727821649,8705.584526692632,44.84379887098294,0.48250247792261014,True,19
179,1,1,False,8367.636658657006,8406.564677820597,38.92801916359167,0.4659030042312459,True,14
180,1,1,False,8475.916458522901,8514.409745439154,38.493286916253055,0.4843453744103678,True,12
181,1,1,False,8679.415434641245,8719.294065591486,39.87863095024113,0.49339684579283827,True,13
182,1,1,False,8488.481773191852,8529.42141490308,40.93964171122752,0.49254274773138146,True,51
183,1,1,False,8587.394255729363,8622.422516290126,35.02826056076265,0.48322876652412544,True,6
184,1,1,False,8462.25116369234,8496.026622521651,33.7754588293119,0.4860899332630577,True,27
185,1,1,False,8424.252152255936,8463.672316059676,39.42016380373934,0.49170595410520407,True,7
186,1,1,False,8581.790099329577,8626.850899117964,45.06079978838716,0.49129998482962334,True,10
187,1,1,False,8672.08700162189,8710.743679009169,38.65667738727825,0.49032288286580367,True,14
188,1,1,False,8498.084777937816,8539.853584101433,41.76880616361632,0.492164703487964,True,11
189,1,1,False,8585.506236774036,8631.092457101406,45.58622032737003,0.4858832559329551,True,13
190,1,1,False,8630.917519758083,8672.801254834803,41.88373507672077,0.4881853319972297,True,11
191,1,1,False,8695.99473566551,8738.33972144583,42.34498578031889,0.48468094090322056,True,9
192,1,1,False,8523.034483431644,8562.854840238864,39.82035680722038,0.48068589974644904,True,25
193,1,1,False,8597.92906098715,8632.893294928352,34.96423394120211,0.483417253176116,True,10
194,1,1,False,8489.411934349984,8532.754315591725,43.34238124174044,0.4992284498896688,True,12
195,1,1,False,8573.162631628647,8615.974757723054,42.81212609440627,0.4944190496314579,True,13
196,1,1,False,8484.162135273153,8527.666625766928,43.50449049377494,0.4879010339401779,True,21
197,1,1,False,8591.530269953564,8635.68131028734,44.15104033377611,0.49502391354730163,True,17
198,1,1,False,8562.815108142171,8603.141444686016,40.32633654384517,0.4865326218012686,True,16
199,1,1,False,8463.523542484827,8505.894457340779,42.37091485595192,0.49478489743882526,True,14
200,1,1,False,8600.03507351079,8640.789142874104,40.75406936331456,0.4953436809081481,True,36
201,1,1,False,8576.621731047751,8614.529689645464,37.90795859771242,0.4821221201636629,True,28
202,1,1,False,8521.454976480649,8565.652894476034,44.19791799538507,0.48412460101550814,True,22
203,1,1,False,8602.16766888108,8639.669968575077,37.502299693996974,0.4935722158687072,True,16
204,1,1,False,8486.603303889635,8522.229974999329,35.62667110969414,0.4838173735454177,True,63
205,1,1,False,8596.135010649798,8641.003235919454,44.86822526965625,0.49583842502509784,True,13
206,1,1,False,8633.928109702323,8675.324769517472,41.39665981514918,0.4856051549092449,True,23
207,1,1,False,8448.514232604899,8492.510182050026,43.995949445126826,0.49867410653573063,True,14
208,1,1,False,8589.691670306947,8624.234960566937,34.54329025998959,0.499462278495117,True,22
209,1,1,False,8522.890219207155,8556.91328159507,34.02306238791607,0.4521020285740795,True,41
210,1,1,False,8671.536612581545,8715.349864995964,43.81325241441846,0.49467353786555757,True,12
211,1,1,False,8580.05101375608,8624.499228093287,44.4482143372079,0.49084544120751955,True,16
212,1,1,False,8412.588513062048,8453.831137358051,41.24262429600276,0.4671311686539707,True,17
213,1,1,False,8738.079754143924,8782.812229166297,44.732475022372455,0.4935323968594623,True,34
214,1,1,False,8423.797311476868,8451.436851985161,27.639540508293067,0.49693416644684146,True,11
215,1,1,False,8601.944314503937,8646.051390176299,44.10707567236204,0.4821930314068573,True,17
216,1,1,False,8448.147079801092,8491.151879656436,43.00479985534366,0.4839526910021596,True,40
217,1,1,False,8722.810750071636,8762.629176973147,39.818426901510975,0.49831451994989456,True,9
218,1,1,False,8544.23642097798,8578.435687786005,34.19926680802382,0.48088768772750234,True,14
