repeat,method,converged,iterations,best_start,log_likelihood,minimum_effective_class_fraction,anchor_margin
54,Modular causal latent SCM,True,19,3,-7750.569531698127,0.4991493350505185,1.9594441130737823
55,Pooled associative latent class model,True,26,3,-7898.201839160224,0.49415266063130214,1.8571841661661384
55,Target-calibrated associative latent model,True,21,1,-7642.741454474437,0.47364945785592366,1.9153616471092278
55,Modular causal latent SCM,True,22,1,-7653.78561629419,0.4763243257169433,1.91465167222162
56,Pooled associative latent class model,True,21,1,-8048.764958718324,0.4854122636084265,2.0426042756432947
56,Target-calibrated associative latent model,True,19,1,-7791.395047216095,0.4856795031421046,2.1312863240411373
56,Modular causal latent SCM,True,18,1,-7799.533830038821,0.4861297210698073,2.1075680459427297
57,Pooled associative latent class model,True,35,1,-8055.154009140943,0.4419464033840724,1.9278333179539267
57,Target-calibrated associative latent model,True,27,2,-7792.4795072176275,0.4461903733170692,2.03983632240437
57,Modular causal latent SCM,True,29,3,-7800.528004474887,0.44004855369898765,2.0230872247082976
58,Pooled associative latent class model,True,32,0,-8049.046278467078,0.4529792613004952,1.7631146101866082
58,Target-calibrated associative latent model,True,31,3,-7822.340911484496,0.4511000946191108,1.7646380407444804
58,Modular causal latent SCM,True,37,2,-7823.7354106424955,0.44760360007384303,1.7659422808751857
59,Pooled associative latent class model,True,21,2,-8004.820617867538,0.49464277259209416,1.7987942775912225
59,Target-calibrated associative latent model,True,22,2,-7794.802408876327,0.48455451918453285,1.8603709503785502
59,Modular causal latent SCM,True,23,2,-7793.259003637318,0.48326943145530815,1.8680623499964706
60,Pooled associative latent class model,True,18,1,-8058.399279866445,0.48427816218299335,1.7063072343147447
60,Target-calibrated associative latent model,True,24,3,-7825.964971725818,0.4802906463588871,1.8129751002091439
60,Modular causal latent SCM,True,14,1,-7833.994948749356,0.48226943484475643,1.7915713544274454
61,Pooled associative latent class model,True,24,1,-8052.685776222317,0.47913745561335613,1.8912224884038795
61,Target-calibrated associative latent model,True,19,3,-7775.768443731453,0.4975040407559923,2.0139982674492334
61,Modular causal latent SCM,True,16,3,-7781.113790829873,0.49968192690329977,2.0129504088978702
62,Pooled associative latent class model,True,23,2,-8010.515670009776,0.4817138851865612,2.01714350092187
62,Target-calibrated associative latent model,True,19,1,-7772.144170901936,0.4844294513933352,1.9865531115616344
62,Modular causal latent SCM,True,19,1,-7778.348328951041,0.4834457080007209,1.9853903854510622
63,Pooled associative latent class model,True,29,3,-8018.448841375026,0.4661999090132555,1.8968144682886536
63,Target-calibrated associative latent model,True,20,0,-7738.1192173556265,0.4763626197417361,1.8932081117402892
63,Modular causal latent SCM,True,19,0,-7744.863021346247,0.47672351928633927,1.9049217811853487
64,Pooled associative latent class model,True,23,1,-8054.06767906847,0.4761822920863564,1.9944017882080252
64,Target-calibrated associative latent model,True,20,3,-7779.526114823158,0.4826561683593654,2.0652675652706396
64,Modular causal latent SCM,True,20,3,-7781.624822947604,0.48564568017517906,2.069344258127055
65,Pooled associative latent class model,True,23,2,-8037.071229781457,0.49847486227425186,1.9569147334531318
65,Target-calibrated associative latent model,True,26,3,-7776.482292470955,0.4885820820810963,2.0046695415879587
65,Modular causal latent SCM,True,20,0,-7778.499861982232,0.488031466312384,1.9896793684413212
66,Pooled associative latent class model,True,21,3,-8022.620654458871,0.48128371503802236,2.122282163144578
66,Target-calibrated associative latent model,True,40,2,-7761.974556881303,0.4698124547067196,2.254957759889576
66,Modular causal latent SCM,True,22,2,-7766.485084322147,0.46851662958817775,2.2777947127289226
67,Pooled associative latent class model,True,25,2,-8031.480803701444,0.48067645231313616,1.8452108819121635
67,Target-calibrated associative latent model,True,25,2,-7798.49696942723,0.49401180405705386,1.955884900915875
67,Modular causal latent SCM,True,26,3,-7799.476148680831,0.48665693158807094,1.93226766484827
68,Pooled associative latent class model,True,28,1,-7990.25130188989,0.48425833761003284,2.018592756309367
68,Target-calibrated associative latent model,True,20,2,-7725.125031169623,0.4882890791610255,2.1862846396196947
68,Modular causal latent SCM,True,17,3,-7729.4067082245265,0.49600402853503706,2.1918522602569004
69,Pooled associative latent class model,True,23,3,-8048.302149561488,0.49841819251723957,1.8071690937823628
