repeat,renal_effect_sd,method,converged,iterations,best_start,log_likelihood,minimum_effective_class_fraction,anchor_margin
43,0.0,Associative latent class model,True,23,3,-4172.675392505829,0.4692110468214332,1.78980477467442
43,0.0,Renal-adjusted associative latent class model,True,21,1,-3668.6201655331574,0.46748058355252814,1.770274068825929
43,0.0,Biologically constrained latent SCM,True,23,0,-3670.1114043798034,0.4694272599592384,1.8019748029253169
44,0.0,Associative latent class model,True,15,0,-4073.4648902808567,0.4763657449427241,2.194567338706732
44,0.0,Renal-adjusted associative latent class model,True,20,0,-3582.0674690786914,0.4717275506877811,2.2282544475721826
44,0.0,Biologically constrained latent SCM,True,17,3,-3583.5281146012667,0.4726017436859013,2.212365794260201
45,0.0,Associative latent class model,True,33,3,-4184.814066960991,0.4414182437810665,2.259120964514959
45,0.0,Renal-adjusted associative latent class model,True,29,1,-3685.187092443314,0.4498840691367165,2.257449888330662
45,0.0,Biologically constrained latent SCM,True,31,1,-3685.9637377316817,0.44329337312362893,2.2480126071671256
46,0.0,Associative latent class model,True,22,1,-4089.524187567864,0.48315659372932607,1.8537749284460943
46,0.0,Renal-adjusted associative latent class model,True,23,1,-3607.7102477126255,0.4798697763974161,1.856113758461231
46,0.0,Biologically constrained latent SCM,True,19,3,-3609.536882865356,0.4875601655131887,1.8634488300135301
47,0.0,Associative latent class model,True,16,3,-4117.602636203837,0.49257382671196437,1.9672274784448958
47,0.0,Renal-adjusted associative latent class model,True,27,3,-3622.9249915251175,0.48511597889294533,2.022295266569304
47,0.0,Biologically constrained latent SCM,True,18,0,-3624.5786690319546,0.4976751096559233,2.0001290134101395
48,0.0,Associative latent class model,True,23,0,-4215.79013041769,0.4628835313459833,1.8888789041968406
48,0.0,Renal-adjusted associative latent class model,True,31,3,-3718.1788888996016,0.45949845361686387,1.9021549589919324
48,0.0,Biologically constrained latent SCM,True,23,1,-3720.4140170056335,0.463180128728386,1.8923342517537356
49,0.0,Associative latent class model,True,25,1,-4130.799132355165,0.4927254044245494,1.991127996036154
49,0.0,Renal-adjusted associative latent class model,True,18,0,-3661.869817079256,0.4951572083930146,2.0114005779135944
49,0.0,Biologically constrained latent SCM,True,25,1,-3662.1734627532887,0.4934094270529124,1.9806487668251316
50,0.0,Associative latent class model,True,18,1,-4186.456207308465,0.4591008186294813,2.3096870550104835
50,0.0,Renal-adjusted associative latent class model,True,25,3,-3689.380381822847,0.45949647489219786,2.3189199344441196
50,0.0,Biologically constrained latent SCM,True,39,2,-3689.5543144238986,0.44810941757288014,2.312898221092264
51,0.0,Associative latent class model,True,48,2,-4064.8895343841778,0.42542474872013003,1.8928510875529594
51,0.0,Renal-adjusted associative latent class model,True,32,3,-3570.6639580578835,0.43684160911763825,1.9080976874959106
51,0.0,Biologically constrained latent SCM,True,31,3,-3574.378803873578,0.4402845313249182,1.8887146807145556
52,0.0,Associative latent class model,True,22,0,-4206.606797713022,0.4649796799519595,2.020437873098841
52,0.0,Renal-adjusted associative latent class model,True,36,3,-3697.8991516249316,0.45617686691444637,1.9847414020441043
52,0.0,Biologically constrained latent SCM,True,26,0,-3698.190913635077,0.4584140142365115,1.9885804219435166
53,0.0,Associative latent class model,True,24,3,-4126.6025384299255,0.48165122181201736,1.968308470550722
53,0.0,Renal-adjusted associative latent class model,True,34,0,-3655.909942949524,0.4632722915986276,2.0349813664131036
53,0.0,Biologically constrained latent SCM,True,21,0,-3657.85192940628,0.48224139046963144,1.9683122348459308
54,0.0,Associative latent class model,True,27,3,-4089.412567879279,0.43891438138177574,2.140491062615185
54,0.0,Renal-adjusted associative latent class model,True,28,0,-3597.3581859994765,0.4364303875710671,2.1697297911751448
54,0.0,Biologically constrained latent SCM,True,38,2,-3598.9398627046185,0.4282794596623465,2.148532767083916
55,0.0,Associative latent class model,True,37,2,-4114.464841927656,0.4142792897422807,2.2966871000447435
55,0.0,Renal-adjusted associative latent class model,True,27,1,-3620.5319563678486,0.4352395047636013,2.3001140421145347
55,0.0,Biologically constrained latent SCM,True,38,2,-3620.5650864291247,0.4164624437425404,2.303570839468132
56,0.0,Associative latent class model,True,14,0,-4128.8381694706695,0.494526585814952,1.9913390370808843
56,0.0,Renal-adjusted associative latent class model,True,38,3,-3620.844565509834,0.4860553815390599,1.987710762173383
56,0.0,Biologically constrained latent SCM,True,14,0,-3621.4866961278385,0.494850459507602,1.991288742024063
57,0.0,Associative latent class model,True,40,2,-4113.253535174257,0.4186707853513092,1.9981974633036272
57,0.0,Renal-adjusted associative latent class model,True,28,0,-3641.1254592155774,0.44013809909522633,1.9741482328595026
57,0.0,Biologically constrained latent SCM,True,36,2,-3641.6787678393803,0.4185544224229053,1.9988187579060035
58,0.0,Associative latent class model,True,11,0,-4164.23817076263,0.4986995769606182,2.373919741528665
58,0.0,Renal-adjusted associative latent class model,True,12,0,-3679.2669800785743,0.4910860128260704,2.366279189684308
58,0.0,Biologically constrained latent SCM,True,11,0,-3680.4758838300622,0.4992083495392988,2.367508269839284
59,0.0,Associative latent class model,True,38,2,-4111.334008486205,0.4434585164128482,2.5599954041508663
59,0.0,Renal-adjusted associative latent class model,True,34,3,-3624.328689620894,0.4377518921636742,2.6476119297764784
59,0.0,Biologically constrained latent SCM,True,36,2,-3627.3991669293455,0.440634236163886,2.5534660697342026
60,0.0,Associative latent class model,True,15,0,-4190.283694377707,0.4781218018064126,2.185648531201423
60,0.0,Renal-adjusted associative latent class model,True,34,3,-3685.0410369287083,0.476315729029332,2.2255634717386306
60,0.0,Biologically constrained latent SCM,True,16,0,-3686.2630300788805,0.47672576150975643,2.1910813205722746
61,0.0,Associative latent class model,True,18,1,-4108.392566979196,0.47893388965102374,1.9184131355612217
61,0.0,Renal-adjusted associative latent class model,True,20,1,-3609.457604423437,0.4780305497817625,1.924516395433045
61,0.0,Biologically constrained latent SCM,True,18,1,-3609.8007039378253,0.4786012537755891,1.9160081688839352
62,0.0,Associative latent class model,True,17,3,-4115.920221739068,0.467303297467097,2.1076419002381996
62,0.0,Renal-adjusted associative latent class model,True,17,0,-3624.8784097939247,0.4694479475778106,2.1208863151771244
62,0.0,Biologically constrained latent SCM,True,42,2,-3624.9850470558486,0.4540444495872818,2.1564847027360496
63,0.0,Associative latent class model,True,18,1,-4191.472211520149,0.4774428542585455,2.411379347579115
63,0.0,Renal-adjusted associative latent class model,True,18,1,-3699.7951217805307,0.47855493671293103,2.4139503098515163
63,0.0,Biologically constrained latent SCM,True,18,1,-3699.924100456779,0.47859825239311443,2.4128594266170387
64,0.0,Associative latent class model,True,30,1,-4142.740899473356,0.4508926176901637,1.7396046400471068
64,0.0,Renal-adjusted associative latent class model,True,40,1,-3647.4454786597507,0.43787938307218655,1.7147702382484389
64,0.0,Biologically constrained latent SCM,True,29,1,-3648.009558471245,0.4461407874941946,1.7012216596069623
65,0.0,Associative latent class model,True,26,2,-4118.445266265621,0.4044229724387201,1.9529442014297054
65,0.0,Renal-adjusted associative latent class model,True,56,3,-3642.5852073337383,0.3923789458514822,2.0082351193280905
65,0.0,Biologically constrained latent SCM,True,28,2,-3644.9582687327556,0.4113108960891807,1.9378812094073892
66,0.0,Associative latent class model,True,12,3,-4166.859929372147,0.48423818512945416,2.0395465422107644
66,0.0,Renal-adjusted associative latent class model,True,16,1,-3692.404179335941,0.4843932520653884,2.04534972271371
66,0.0,Biologically constrained latent SCM,True,16,1,-3693.3181736302895,0.4832678640494518,2.0407157366416313
67,0.0,Associative latent class model,True,20,3,-4107.086032127876,0.4907739172702486,1.8703252250516909
67,0.0,Renal-adjusted associative latent class model,True,19,0,-3620.238386242375,0.4779096270559686,1.906848915880897
67,0.0,Biologically constrained latent SCM,True,19,0,-3620.3019070790233,0.4802568540725926,1.8992653036090816
68,0.0,Associative latent class model,True,19,3,-4173.751045695108,0.4762367871322995,2.3228685610992947
68,0.0,Renal-adjusted associative latent class model,True,21,1,-3696.5270991735006,0.46967944362391306,2.3106919080313464
68,0.0,Biologically constrained latent SCM,True,19,3,-3696.557715328585,0.47505901166958275,2.322137343472156
69,0.0,Associative latent class model,True,52,2,-4116.626439693333,0.4243806660010154,2.2616516950676826
69,0.0,Renal-adjusted associative latent class model,True,30,3,-3628.623099601392,0.4179326350279338,2.2437501957722947
69,0.0,Biologically constrained latent SCM,True,25,0,-3629.4362902776356,0.4230456783398806,2.253286584390616
70,0.0,Associative latent class model,True,42,2,-4172.6295246633845,0.424774108822544,2.098543953876156
70,0.0,Renal-adjusted associative latent class model,True,32,0,-3661.279590430482,0.4378604457234918,2.1087721081776345
70,0.0,Biologically constrained latent SCM,True,38,2,-3661.544891170396,0.42547769457871853,2.095976934761056
71,0.0,Associative latent class model,True,18,0,-4100.87243011813,0.48530769558137776,1.8466271595879888
71,0.0,Renal-adjusted associative latent class model,True,30,3,-3611.3342733147647,0.49299516332328863,1.8788331953560422
71,0.0,Biologically constrained latent SCM,True,19,0,-3612.3883694045703,0.4828793799481793,1.8598917676113416
72,0.0,Associative latent class model,True,18,1,-4139.640689968612,0.49263180202359946,2.006607991575393
72,0.0,Renal-adjusted associative latent class model,True,16,0,-3648.965691880806,0.49051966890301685,2.0034879899560005
72,0.0,Biologically constrained latent SCM,True,14,0,-3650.053621632155,0.49796218224927175,2.018553269801629
73,0.0,Associative latent class model,True,33,2,-4212.268564562242,0.4309377850300579,2.0104268042663094
73,0.0,Renal-adjusted associative latent class model,True,30,3,-3721.6694095505663,0.4217369529327977,2.044123245284583
73,0.0,Biologically constrained latent SCM,True,29,2,-3722.618035732606,0.4350998378931774,1.9984876043256057
74,0.0,Associative latent class model,True,21,1,-4128.349411711551,0.4673444884498255,2.18274950260788
74,0.0,Renal-adjusted associative latent class model,True,34,3,-3638.867586199126,0.4233172535466768,2.196159856594232
74,0.0,Biologically constrained latent SCM,True,21,1,-3640.1933354735343,0.47268114303586883,2.1710523402797173
75,0.0,Associative latent class model,True,20,0,-4183.1220412481925,0.4812120365084691,2.2629414853668766
75,0.0,Renal-adjusted associative latent class model,True,24,1,-3690.5925794729314,0.479127881417936,2.2321324074478617
75,0.0,Biologically constrained latent SCM,True,24,1,-3691.063533948452,0.47945856885008115,2.229664611943817
76,0.0,Associative latent class model,True,20,1,-4151.573885331993,0.4732966931668656,2.0789942527962784
76,0.0,Renal-adjusted associative latent class model,True,25,1,-3661.2404467689057,0.47197072151238445,2.0584060726271582
76,0.0,Biologically constrained latent SCM,True,19,1,-3661.4568681819205,0.4737167837599073,2.042754687724166
77,0.0,Associative latent class model,True,18,1,-4156.562016174494,0.493357506422251,2.052507764474093
77,0.0,Renal-adjusted associative latent class model,True,18,3,-3668.0520705499257,0.4912149327352502,2.0739694200022787
77,0.0,Biologically constrained latent SCM,True,19,1,-3669.5737532260487,0.4930530095283862,2.0555129036116764
78,0.0,Associative latent class model,True,42,2,-4145.226565155448,0.43513446490532837,2.2779307954587447
78,0.0,Renal-adjusted associative latent class model,True,25,0,-3647.4758183746917,0.4571074640993926,2.2400906536707472
78,0.0,Biologically constrained latent SCM,True,21,3,-3647.526633153192,0.4487580252682639,2.2388751112891914
79,0.0,Associative latent class model,True,21,1,-4133.468704655293,0.46381709687377826,2.1652471452490296
79,0.0,Renal-adjusted associative latent class model,True,35,3,-3627.9044946397325,0.4580274144553515,2.196190183064303
79,0.0,Biologically constrained latent SCM,True,20,1,-3628.230877119066,0.475340081263233,2.1852221370817873
80,0.0,Associative latent class model,True,15,3,-4129.699278334897,0.48914527652904627,1.9013535713052703
80,0.0,Renal-adjusted associative latent class model,True,22,0,-3619.956503899576,0.4856044980442543,1.9026316280785331
80,0.0,Biologically constrained latent SCM,True,23,3,-3620.0264798852986,0.48268757826631814,1.903782301334925
81,0.0,Associative latent class model,True,19,0,-4169.908549516636,0.47762652317775334,1.931171653148283
81,0.0,Renal-adjusted associative latent class model,True,23,0,-3673.188304636316,0.47842495752317105,1.913299384425692
81,0.0,Biologically constrained latent SCM,True,21,0,-3675.552420529669,0.4725527540042286,1.9143185147058894
82,0.0,Associative latent class model,True,24,0,-4134.21946991844,0.45289575135961896,2.087281948824438
82,0.0,Renal-adjusted associative latent class model,True,25,3,-3643.3158188372136,0.45461923855077446,2.0453286762287384
82,0.0,Biologically constrained latent SCM,True,28,3,-3643.845272062339,0.45374578268954635,2.0725400523152624
83,0.0,Associative latent class model,True,21,1,-4126.191830962307,0.4725102526292605,2.035658704581545
83,0.0,Renal-adjusted associative latent class model,True,21,0,-3621.2842703233564,0.4866538677398982,2.1153097218785053
83,0.0,Biologically constrained latent SCM,True,21,1,-3622.5278255750172,0.4746009178700606,2.0391284348477345
84,0.0,Associative latent class model,True,34,2,-4139.259590042064,0.4008340504713642,2.2725879859308877
84,0.0,Renal-adjusted associative latent class model,True,32,3,-3643.309228015896,0.40758146313005866,2.267160761661809
84,0.0,Biologically constrained latent SCM,True,30,2,-3643.876541048776,0.400582360627416,2.2705690226409265
85,0.0,Associative latent class model,True,39,2,-4120.178374858997,0.4386099236307742,1.943779476608373
85,0.0,Renal-adjusted associative latent class model,True,24,1,-3611.311683732302,0.4487657180307413,1.964311745106191
85,0.0,Biologically constrained latent SCM,True,40,2,-3611.6162898374437,0.43476861046155035,1.957312774646037
86,0.0,Associative latent class model,True,17,3,-4144.704273416217,0.49462896165687636,2.1278645692182483
86,0.0,Renal-adjusted associative latent class model,True,14,1,-3644.353798140388,0.4941487057726097,2.1132764673540265
86,0.0,Biologically constrained latent SCM,True,32,3,-3644.589763096659,0.49713007799718617,2.13310242772865
87,0.0,Associative latent class model,True,12,3,-4130.159129752945,0.4983982625406715,1.7614071254191779
87,0.0,Renal-adjusted associative latent class model,True,31,3,-3641.9240766151233,0.480000611050383,1.8321438070256608
87,0.0,Biologically constrained latent SCM,True,24,0,-3642.183700516381,0.4970846159154783,1.8149116957586915
88,0.0,Associative latent class model,True,24,0,-4173.631233980834,0.45287359719966197,1.9022395073011236
88,0.0,Renal-adjusted associative latent class model,True,27,0,-3688.252248802462,0.4558835899390317,1.8861481496651722
88,0.0,Biologically constrained latent SCM,True,25,0,-3688.3258455545456,0.4565065923867187,1.8912814015416402
89,0.0,Associative latent class model,True,24,1,-4113.422881359608,0.4879983859523249,1.9719803124376596
89,0.0,Renal-adjusted associative latent class model,True,20,0,-3632.0709995882858,0.48886156907527883,1.9299141694779918
89,0.0,Biologically constrained latent SCM,True,22,1,-3633.0512183773762,0.49532542431497445,1.9307722531934068
