renal_effect_sd,method,metric,mean,ci95_low,ci95_high,monte_carlo_standard_error,repeat_count
0.5,Biologically constrained latent SCM,brier_score,0.12704668410053827,0.1263544583785357,0.12773890982254082,0.0003523262415566404,500
0.5,Biologically constrained latent SCM,expected_calibration_error,0.04603891612175188,0.04407481232728118,0.04800301991622258,0.0009996815864210936,500
0.5,Biologically constrained latent SCM,mean_posterior_entropy,0.3728649290488395,0.3712165608071435,0.3745132972905355,0.0008389797848279678,500
0.5,Biologically constrained latent SCM,predicted_atrial_prevalence,0.49970600000000004,0.4950809342848223,0.5043310657151777,0.002354047196724997,500
0.5,Data-generating oracle (reference),accuracy,0.8265459999999999,0.8254853980536002,0.8276066019463996,0.0005398208787758436,500
0.5,Data-generating oracle (reference),adjusted_rand_index,0.42653687978532295,0.4237667147755685,0.4293070447950774,0.0014099473558350478,500
0.5,Data-generating oracle (reference),false_atrial_renal_competing,0.17332613613698739,0.17060374846697032,0.17604852380700445,0.0013856298391548539,500
0.5,Data-generating oracle (reference),brier_score,0.12195020286141017,0.12138847135579557,0.12251193436702477,0.00028590782435041536,500
0.5,Data-generating oracle (reference),expected_calibration_error,0.0275501200118443,0.026953144014630847,0.028147096009057754,0.00030384642279584074,500
0.5,Data-generating oracle (reference),mean_posterior_entropy,0.38193789651607,0.3812997071573663,0.38257608587477376,0.0003248230324395495,500
0.5,Data-generating oracle (reference),predicted_atrial_prevalence,0.49977200000000005,0.49845758698277065,0.5010864130172294,0.000669004608603458,500
1.0,Associative latent class model,accuracy,0.733876,0.7313536719025739,0.736398328097426,0.0012838043289809479,500
1.0,Associative latent class model,adjusted_rand_index,0.22130149349333914,0.21665431680416472,0.22594867018251355,0.002365301150627311,500
1.0,Associative latent class model,false_atrial_renal_competing,0.6377043637626444,0.6271178030134488,0.64829092451184,0.00538830476998859,500
1.0,Associative latent class model,brier_score,0.18969660387246778,0.1878866966243392,0.19150651112059636,0.0009211992534090079,500
1.0,Associative latent class model,expected_calibration_error,0.12231341048360704,0.11958675408801119,0.1250400668792029,0.0013878025177936452,500
1.0,Associative latent class model,mean_posterior_entropy,0.34113065346629456,0.3395747549890729,0.3426865519435162,0.0007919148989976333,500
1.0,Associative latent class model,predicted_atrial_prevalence,0.481844,0.4763353719620134,0.48735262803798657,0.002803759165641342,500
1.0,Renal-adjusted associative latent class model,accuracy,0.8168280000000001,0.8155545323884346,0.8181014676115657,0.0006481643820299467,500
1.0,Renal-adjusted associative latent class model,adjusted_rand_index,0.4017595058301403,0.3985503186573105,0.4049686930029701,0.0016333990765092308,500
1.0,Renal-adjusted associative latent class model,false_atrial_renal_competing,0.1885120645407644,0.1798415801209864,0.19718254896054244,0.004413068008016808,500
1.0,Renal-adjusted associative latent class model,brier_score,0.1286369320582764,0.1278464558985527,0.12942740821800008,0.000402333351020069,500
1.0,Renal-adjusted associative latent class model,expected_calibration_error,0.045700721454915626,0.04386782313990251,0.04753361976992874,0.0009329011534212953,500
1.0,Renal-adjusted associative latent class model,mean_posterior_entropy,0.3699043504169521,0.36822347176557885,0.3715852290683253,0.0008555268013414551,500
1.0,Renal-adjusted associative latent class model,predicted_atrial_prevalence,0.5044,0.4999605587065231,0.5088394412934768,0.002259568831128012,500
