repeat,method,renal_effect_sd,bic_k1,bic_k2,delta_bic_k2_minus_k1,selected_k2,k2_converged,k2_minimum_effective_class_fraction
268,Renal-adjusted associative latent class model,1.5,7047.143589620856,7079.024480712107,31.880891091251215,False,True,0.49528162109346197
268,Biologically constrained latent SCM,1.5,7034.700433194065,7066.605365776276,31.904932582210677,False,True,0.4988825163309042
269,Associative latent class model,1.5,8161.956240474431,7912.228694987162,-249.7275454872688,True,True,0.30327259408873286
269,Renal-adjusted associative latent class model,1.5,6912.914143899034,6945.97744074878,33.06329684974662,False,True,0.48871616511634114
269,Biologically constrained latent SCM,1.5,6901.645482698205,6933.023538045373,31.3780553471679,False,True,0.37034051373222965
270,Associative latent class model,1.5,8016.852589627481,7697.419056225461,-319.43353340202066,True,True,0.28585129571916584
270,Renal-adjusted associative latent class model,1.5,6715.638659933367,6736.977777358226,21.33911742485907,False,True,0.3714797027051501
270,Biologically constrained latent SCM,1.5,6702.5616447084985,6723.7581017281245,21.196457019625996,False,True,0.3705160042441245
271,Associative latent class model,1.5,8115.011471796092,7858.32145672614,-256.6900150699521,True,True,0.3270323596189078
271,Renal-adjusted associative latent class model,1.5,6859.657073171422,6891.748712606504,32.09163943508247,False,True,0.4673062384509485
271,Biologically constrained latent SCM,1.5,6849.484545757791,6877.98630814514,28.501762387349117,False,True,0.40031241703693754
272,Associative latent class model,1.5,8105.97079984136,7819.591038487406,-286.37976135395365,True,True,0.29741452571937316
272,Renal-adjusted associative latent class model,1.5,6828.654394437901,6860.829049005558,32.174654567656944,False,True,0.48065218394077663
272,Biologically constrained latent SCM,1.5,6816.404725937845,6847.634351604422,31.229625666576794,False,True,0.49231387276373245
273,Associative latent class model,1.5,8034.979672955708,7764.603194455318,-270.3764785003905,True,True,0.28237557212479936
273,Renal-adjusted associative latent class model,1.5,6800.216820201371,6819.077970005918,18.861149804547495,False,True,0.42928923725115536
273,Biologically constrained latent SCM,1.5,6789.1754549096695,6807.945283267118,18.769828357448205,False,True,0.3747796195987823
274,Associative latent class model,1.5,8075.281505493976,7774.7622954397875,-300.5192100541881,True,True,0.29224245807454297
274,Renal-adjusted associative latent class model,1.5,6796.682756170096,6827.001159375353,30.31840320525771,False,True,0.49967934525261987
274,Biologically constrained latent SCM,1.5,6783.363801528217,6812.431740160418,29.06793863220082,False,True,0.450427151854841
275,Associative latent class model,1.5,8164.433710655067,7817.479722496656,-346.95398815841145,True,True,0.31728878721361364
275,Renal-adjusted associative latent class model,1.5,6816.203849976029,6838.379444363498,22.175594387468664,False,True,0.3972778980792706
275,Biologically constrained latent SCM,1.5,6803.828237766423,6826.48305823931,22.654820472886968,False,True,0.36021125432544676
276,Associative latent class model,1.5,7998.963432994567,7742.6387325547,-256.3247004398663,True,True,0.26710382696529067
276,Renal-adjusted associative latent class model,1.5,6798.510324255386,6822.500757254784,23.990432999397854,False,True,0.47816696460674074
276,Biologically constrained latent SCM,1.5,6785.590177596124,6815.661494974991,30.071317378867207,False,True,0.48772703213887314
277,Associative latent class model,1.5,8181.073862519107,7884.421034885207,-296.6528276339004,True,True,0.320511720405561
277,Renal-adjusted associative latent class model,1.5,6864.788375759907,6889.858764082355,25.070388322448707,False,True,0.3076860283300744
277,Biologically constrained latent SCM,1.5,6852.211077587128,6879.535280826275,27.32420323914721,False,True,0.37068002408849765
278,Associative latent class model,1.5,8250.556322494285,8000.00588588527,-250.55043660901538,True,True,0.2949347928580884
278,Renal-adjusted associative latent class model,1.5,6991.11241139593,7020.084603189051,28.972191793121056,False,True,0.3713441212687579
278,Biologically constrained latent SCM,1.5,6979.03448372987,7007.925043513011,28.890559783140816,False,True,0.3879347457785319
279,Associative latent class model,1.5,8227.499744840801,7937.5929139011205,-289.90683093968073,True,True,0.30936972738907803
279,Renal-adjusted associative latent class model,1.5,6923.052562443207,6951.214512603279,28.161950160072593,False,True,0.3736568258585518
279,Biologically constrained latent SCM,1.5,6912.326861344704,6940.748177651176,28.421316306471454,False,True,0.36072260171299064
280,Associative latent class model,1.5,8108.725869233754,7843.044638668527,-265.68123056522654,True,True,0.2944135517717202
280,Renal-adjusted associative latent class model,1.5,6880.509171084268,6908.289678653812,27.78050756954417,False,True,0.48506218658570427
280,Biologically constrained latent SCM,1.5,6867.262732781012,6895.494789207213,28.23205642620087,False,True,0.4797528355606946
281,Associative latent class model,1.5,8069.888593004695,7834.849162279043,-235.03943072565198,True,True,0.3399085209320391
281,Renal-adjusted associative latent class model,1.5,6837.820159982293,6862.881965317911,25.061805335617464,False,True,0.36562003412423444
281,Biologically constrained latent SCM,1.5,6828.538627162356,6853.67999118552,25.141364023163987,False,True,0.36643433350824567
282,Associative latent class model,1.5,8022.588656785018,7730.700929695901,-291.8877270891171,True,True,0.28489674038175294
282,Renal-adjusted associative latent class model,1.5,6762.657925328016,6786.142065232938,23.484139904921904,False,True,0.4602316442672638
282,Biologically constrained latent SCM,1.5,6750.928694835108,6776.817910270974,25.88921543586548,False,True,0.3878642669658286
283,Associative latent class model,1.5,8107.0161195854425,7833.222101533649,-273.7940180517935,True,True,0.30398948317408836
283,Renal-adjusted associative latent class model,1.5,6861.431631173235,6893.364077978448,31.932446805213658,False,True,0.4860707767451444
283,Biologically constrained latent SCM,1.5,6852.208551940434,6880.234762806623,28.026210866189103,False,True,0.3918791863695159
284,Associative latent class model,1.5,7954.73551708361,7710.788708534857,-243.94680854875332,True,True,0.26929186643327163
