repeat,truth_k,selected_k,select_k2,bic_k1,bic_k2,bic_k2_minus_k1,minimum_k2_weight,k2_converged,k2_iterations
83,1,1,False,8555.035270338538,8587.085915986636,32.050645648098,0.4795832270219136,True,15
84,1,1,False,8587.762930017801,8627.315526715674,39.552596697873014,0.48874378660679285,True,14
85,1,1,False,8468.152837434956,8512.676661669071,44.52382423411473,0.4938048164464936,True,17
86,1,1,False,8672.080385434587,8705.696116806057,33.61573137147025,0.47231599101997457,True,35
87,1,1,False,8479.113364490273,8515.508942619315,36.395578129042406,0.4955904063719973,True,11
88,1,1,False,8552.721198746358,8595.37284745179,42.65164870543231,0.48264664299826787,True,21
89,1,1,False,8557.258997057332,8596.456028292892,39.197031235560644,0.4983309237118305,True,12
90,1,1,False,8621.863732104164,8655.92061714877,34.056885044605224,0.49299940761519173,True,69
91,1,1,False,8467.230696356051,8509.386897445489,42.15620108943767,0.4672461455211477,True,49
92,1,1,False,8575.69740078624,8614.164039461471,38.46663867523057,0.4908889978864792,True,33
93,1,1,False,8553.593816412536,8598.1023985972,44.50858218466419,0.4926988797509067,True,11
94,1,1,False,8628.339909181175,8673.749835348135,45.40992616695985,0.499323468163726,True,12
95,1,1,False,8522.815485244168,8566.73607532973,43.92059008556316,0.4828927760461001,True,17
96,1,1,False,8553.296217874375,8586.89161863104,33.595400756665185,0.444652489859805,True,49
97,1,1,False,8536.74773030344,8577.924618045192,41.17688774175258,0.4944395674091881,True,31
98,1,1,False,8589.099753050159,8632.01313926927,42.91338621911018,0.4918942395787357,True,17
99,1,1,False,8591.828964567198,8633.407032675454,41.57806810825605,0.4990232799693932,True,16
100,1,1,False,8528.606972917376,8571.750208335025,43.14323541764861,0.49545480163312816,True,12
101,1,1,False,8482.191389996626,8525.837023331858,43.64563333523256,0.4878832459564774,True,9
102,1,1,False,8635.76393133814,8678.95190501281,43.18797367466868,0.49088635681196574,True,15
103,1,1,False,8563.91717894408,8592.954167817052,29.03698887297105,0.45100791012056596,True,38
104,1,1,False,8512.326478795287,8549.472447076992,37.14596828170579,0.4806510686505546,True,30
