repeat,method,converged,iterations,best_start,log_likelihood,minimum_effective_class_fraction,anchor_margin
71,Pooled associative latent class model,True,24,2,-7855.689572004702,0.474659066189743,2.054228477018553
71,Target-calibrated associative latent model,True,18,3,-7670.215323291028,0.49858604182776617,2.1312980813990325
71,Modular causal latent SCM,True,17,0,-7673.628037106777,0.4927005438642393,2.1228976312127945
72,Pooled associative latent class model,True,26,2,-7966.486059969933,0.47675733400762327,1.9336649004118764
72,Target-calibrated associative latent model,True,23,1,-7741.704914191952,0.4663919545292064,1.935162853948186
72,Modular causal latent SCM,True,23,0,-7744.028039880794,0.4702229090037479,1.954608526823355
73,Pooled associative latent class model,True,23,3,-7961.683055501523,0.475544074064234,1.7454002280751344
73,Target-calibrated associative latent model,True,23,3,-7744.115936873255,0.47254240008461795,1.843833552828043
73,Modular causal latent SCM,True,26,2,-7750.6775500903805,0.4751936556665832,1.8413555171997773
74,Pooled associative latent class model,True,24,1,-8032.740965665516,0.45766677689304786,1.8958074109724843
74,Target-calibrated associative latent model,True,19,1,-7822.177815271555,0.46923983856395957,1.9397579723076552
74,Modular causal latent SCM,True,19,1,-7822.939748295064,0.46936749066555905,1.9423639740808043
75,Pooled associative latent class model,True,24,3,-8025.377904831319,0.4933497327354578,1.8888382040650449
75,Target-calibrated associative latent model,True,15,0,-7821.505075410076,0.4862706115870504,2.0459882415325303
75,Modular causal latent SCM,True,14,0,-7825.222150540202,0.48803300588148646,2.041493859940624
76,Pooled associative latent class model,True,20,1,-7989.315907148,0.488804662221201,2.0823680536153955
76,Target-calibrated associative latent model,True,18,1,-7785.968700721116,0.48345734911967525,2.136683857899327
76,Modular causal latent SCM,True,18,1,-7790.863401643904,0.48454397031927154,2.129682945476429
77,Pooled associative latent class model,True,25,1,-8024.829897873624,0.48152028514607753,2.028062450773408
77,Target-calibrated associative latent model,True,20,1,-7781.733295671109,0.47765795162389485,2.16354864895069
77,Modular causal latent SCM,True,20,1,-7785.1669864395335,0.47787627120724185,2.156153297342401
78,Pooled associative latent class model,True,29,1,-8033.1390733088065,0.4756155188405823,1.9257809259943817
78,Target-calibrated associative latent model,True,28,3,-7810.57334592619,0.4805688866568766,1.935673549453239
78,Modular causal latent SCM,True,27,3,-7811.05012545271,0.47752345243779587,1.9391363636053458
79,Pooled associative latent class model,True,18,1,-8023.5943151152605,0.48504533089732244,2.0246807723497304
79,Target-calibrated associative latent model,True,21,2,-7783.431455258804,0.49028917031420105,2.067637971710398
79,Modular causal latent SCM,True,20,3,-7788.661569209585,0.49034653510588355,2.0668464000530724
80,Pooled associative latent class model,True,20,1,-7948.991244493502,0.48497564267157056,1.9938689394734448
80,Target-calibrated associative latent model,True,20,1,-7698.565811603546,0.4780089977701746,2.020868528828677
80,Modular causal latent SCM,True,19,1,-7698.932742263962,0.4808267629925564,2.019737126268993
81,Pooled associative latent class model,True,22,3,-8065.179417616887,0.48867033556908074,1.9464891410690504
81,Target-calibrated associative latent model,True,23,3,-7842.322365151345,0.4674746911992362,2.027204670405701
81,Modular causal latent SCM,True,27,3,-7846.1796834900015,0.4652370733776422,2.0244276285453355
82,Pooled associative latent class model,True,25,1,-7949.69718687031,0.47836330565928087,2.0238656862112507
82,Target-calibrated associative latent model,True,20,1,-7744.179649070175,0.4855277058731665,2.156459202808305
82,Modular causal latent SCM,True,19,1,-7749.8303920317485,0.48571015485210683,2.1433933978156574
83,Pooled associative latent class model,True,24,2,-7881.271386048917,0.4875587901064415,1.7733331622501147
83,Target-calibrated associative latent model,True,24,3,-7696.112781636657,0.4751722824124474,1.8946377764936533
83,Modular causal latent SCM,True,21,1,-7702.132659922774,0.48047758447475053,1.8706212257852648
84,Pooled associative latent class model,True,31,1,-8067.613451987918,0.49053125359560074,1.8932330218520748
84,Target-calibrated associative latent model,True,25,1,-7837.841000990873,0.47810607404316147,1.9729570980208955
