repeat,shift_index,shift,method,accuracy,adjusted_rand_index,false_atrial_renal_competing,brier_score,expected_calibration_error,mean_posterior_entropy,predicted_atrial_prevalence,renal_competing_subgroup_size,accuracy_complete_case,accuracy_any_missing,accuracy_electrical_missing,biomarker_missing_fraction,all_biomarkers_missing_rate
34,0,Exact no shift,Frozen causal latent SCM,0.834,0.44566250105985733,0.203125,0.12143289115518709,0.043383740075838895,0.39577314552656195,0.549,128,0.8481308411214953,0.75,0.723404255319149,0.050333333333333334,0.0
34,0,Exact no shift,Modular causal latent SCM,0.832,0.4403277259160098,0.1953125,0.12298477507585753,0.04179560749595998,0.3956750178919516,0.553,128,0.8457943925233645,0.75,0.723404255319149,0.050333333333333334,0.0
34,0,Exact no shift,Target oracle (reference),0.831,0.43767948423898223,0.1640625,0.12104712540535341,0.023910413820967025,0.39768061775884134,0.53,128,0.844626168224299,0.75,0.723404255319149,0.050333333333333334,0.0
35,0,Exact no shift,Pooled associative latent class model,0.802,0.3641802473654914,0.2905405405405405,0.13243305552493753,0.03894773545562059,0.41322332213609625,0.483,148,0.8028673835125448,0.7975460122699386,0.7735849056603774,0.05566666666666667,0.0
35,0,Exact no shift,Target-calibrated associative latent model,0.813,0.391270978192776,0.12837837837837837,0.12945662708758104,0.05775063243597658,0.38839612190199874,0.45,148,0.8172043010752689,0.7914110429447853,0.7924528301886793,0.05566666666666667,0.0
35,0,Exact no shift,Frozen causal latent SCM,0.816,0.3988227821018417,0.20270270270270271,0.12380305591210647,0.027878880752127008,0.3906852498591821,0.485,148,0.8172043010752689,0.8098159509202454,0.8113207547169812,0.05566666666666667,0.0
35,0,Exact no shift,Modular causal latent SCM,0.815,0.39629682952898804,0.20270270270270271,0.12500380179014367,0.03603448853930585,0.38995173590492255,0.476,148,0.8160095579450418,0.8098159509202454,0.8113207547169812,0.05566666666666667,0.0
35,0,Exact no shift,Target oracle (reference),0.825,0.421921630598519,0.20945945945945946,0.12219724873745441,0.030289455645258725,0.3946172072365441,0.508,148,0.8279569892473119,0.8098159509202454,0.8301886792452831,0.05566666666666667,0.0
36,0,Exact no shift,Pooled associative latent class model,0.809,0.38130516511093204,0.26627218934911245,0.13413440979169305,0.044516971646226665,0.40661591917795237,0.482,169,0.8147713950762017,0.7755102040816326,0.8235294117647058,0.050333333333333334,0.0
36,0,Exact no shift,Target-calibrated associative latent model,0.825,0.42192134485403454,0.11834319526627218,0.12244402537970397,0.05673247460976353,0.38701165296954565,0.476,169,0.8288393903868698,0.8027210884353742,0.8823529411764706,0.050333333333333334,0.0
36,0,Exact no shift,Frozen causal latent SCM,0.818,0.4039003105990339,0.20710059171597633,0.12109242137875285,0.031050236898201026,0.39107949292273536,0.505,169,0.8264947245017585,0.7687074829931972,0.8823529411764706,0.050333333333333334,0.0
36,0,Exact no shift,Modular causal latent SCM,0.822,0.4141505107325182,0.17751479289940827,0.12135902910768505,0.042638412566872445,0.389485661915095,0.493,169,0.8311840562719812,0.7687074829931972,0.8823529411764706,0.050333333333333334,0.0
36,0,Exact no shift,Target oracle (reference),0.826,0.4245280368845251,0.23076923076923078,0.11806389431768917,0.026867319698236566,0.3795319461148126,0.523,169,0.8335287221570926,0.782312925170068,0.8627450980392157,0.050333333333333334,0.0
37,0,Exact no shift,Pooled associative latent class model,0.804,0.3690335223792899,0.35119047619047616,0.13153882560593727,0.03946092011942768,0.40994143182602627,0.511,168,0.8080194410692588,0.7853107344632768,0.8387096774193549,0.06233333333333333,0.0
37,0,Exact no shift,Target-calibrated associative latent model,0.806,0.3739168677554799,0.26785714285714285,0.12550868820970834,0.05610155186601257,0.37873518761286595,0.523,168,0.8092345078979344,0.7909604519774012,0.8709677419354839,0.06233333333333333,0.0
