repeat,method,renal_effect_sd,bic_k1,bic_k2,delta_bic_k2_minus_k1,selected_k2,k2_converged,k2_minimum_effective_class_fraction
402,Biologically constrained latent SCM,1.5,6830.803901972637,6860.300914787187,29.497012814550544,False,True,0.37737621997578247
403,Associative latent class model,1.5,8106.635121904181,7833.95122814402,-272.6838937601606,True,True,0.30701690185617814
403,Renal-adjusted associative latent class model,1.5,6836.322018667834,6859.128246074961,22.806227407127153,False,True,0.46424359089197137
403,Biologically constrained latent SCM,1.5,6823.540428338059,6842.625823498414,19.085395160354892,False,True,0.1752659168169953
404,Associative latent class model,1.5,8157.19086100083,7900.538877979671,-256.65198302115914,True,True,0.2750863140749433
404,Renal-adjusted associative latent class model,1.5,6952.283076896254,6983.865273552836,31.5821966565818,False,True,0.49072777606237616
404,Biologically constrained latent SCM,1.5,6940.415890842428,6968.326720552122,27.910829709694553,False,True,0.43382422602185255
405,Associative latent class model,1.5,8184.932923609276,7896.258113833252,-288.67480977602463,True,True,0.3230309683704492
405,Renal-adjusted associative latent class model,1.5,6871.543137470839,6898.350482394921,26.807344924081917,False,True,0.4420345296190947
405,Biologically constrained latent SCM,1.5,6860.98375836695,6887.87811977761,26.894361410660167,False,True,0.4626659219584731
406,Associative latent class model,1.5,8308.187562453078,7972.513756816839,-335.6738056362392,True,True,0.33051017102793834
406,Renal-adjusted associative latent class model,1.5,6941.856904040236,6965.427569050136,23.57066500990004,False,True,0.4253762126266939
406,Biologically constrained latent SCM,1.5,6928.757099858721,6960.532327102869,31.775227244148482,False,True,0.4935199669228828
407,Associative latent class model,1.5,8238.875290938293,7957.828585167271,-281.04670577102206,True,True,0.3561664722858232
407,Renal-adjusted associative latent class model,1.5,6916.121796211423,6944.6600540171685,28.53825780574516,False,True,0.3977783291484995
407,Biologically constrained latent SCM,1.5,6903.9067943630025,6931.743909240701,27.837114877698696,False,True,0.3513858979184644
408,Associative latent class model,1.5,8070.699426708227,7767.737944580719,-302.96148212750813,True,True,0.28258387543317803
408,Renal-adjusted associative latent class model,1.5,6768.737660028866,6791.939945090791,23.202285061925068,False,True,0.48020513913845525
408,Biologically constrained latent SCM,1.5,6756.554130017178,6778.9693561167915,22.415226099613392,False,True,0.47901004618925813
409,Associative latent class model,1.5,8271.227647006112,7978.768335333917,-292.4593116721944,True,True,0.30831359485411136
409,Renal-adjusted associative latent class model,1.5,6958.326010814254,6973.051402502322,14.725391688068157,False,True,0.41374276184728975
409,Biologically constrained latent SCM,1.5,6947.482903352086,6961.844002197585,14.361098845498418,False,True,0.40907540101551476
410,Associative latent class model,1.5,8128.825362904438,7831.546153018711,-297.27920988572714,True,True,0.3455834382635367
410,Renal-adjusted associative latent class model,1.5,6820.753277694218,6841.227090154705,20.473812460487352,False,True,0.41375406570059253
410,Biologically constrained latent SCM,1.5,6813.053925833482,6828.060490927288,15.006565093805875,False,True,0.4140139146619488
411,Associative latent class model,1.5,8170.668318746771,7901.100292041437,-269.568026705334,True,True,0.30529865179540416
411,Renal-adjusted associative latent class model,1.5,6916.195761822947,6945.3824964627975,29.18673463985033,False,True,0.30988218871457013
411,Biologically constrained latent SCM,1.5,6908.601383377189,6930.881050791673,22.27966741448381,False,True,0.44972165326113583
412,Associative latent class model,1.5,8309.540936334934,8038.551329811868,-270.98960652306596,True,True,0.3228016165969948
412,Renal-adjusted associative latent class model,1.5,7027.68817445914,7048.927485736699,21.239311277558954,False,True,0.44700384103347296
412,Biologically constrained latent SCM,1.5,7019.125141628724,7037.3901934016085,18.265051772884362,False,True,0.35831788058364256
413,Associative latent class model,1.5,8094.750146731399,7805.871560304602,-288.8785864267966,True,True,0.337325648206384
413,Renal-adjusted associative latent class model,1.5,6818.1712880850355,6846.187561626782,28.01627354174616,False,True,0.4027153693141548
413,Biologically constrained latent SCM,1.5,6807.636563683686,6833.513152868101,25.876589184415025,False,True,0.2262751947743057
414,Associative latent class model,1.5,8145.635991482689,7916.742182914035,-228.8938085686541,True,True,0.2805010298737273
414,Renal-adjusted associative latent class model,1.5,6937.907328126703,6963.948079638278,26.040751511574854,False,True,0.44015355588554333
414,Biologically constrained latent SCM,1.5,6926.852805018182,6955.652479050835,28.799674032652547,False,True,0.4787611876454686
415,Associative latent class model,1.5,8152.768131888476,7875.179776274455,-277.58835561402066,True,True,0.33714496706667363
415,Renal-adjusted associative latent class model,1.5,6862.215261227533,6888.656456789177,26.441195561644236,False,True,0.4428611717290096
415,Biologically constrained latent SCM,1.5,6849.836169749699,6874.88518025675,25.049010507050298,False,True,0.32253608209963475
416,Associative latent class model,1.5,8187.262223081168,7947.281254585279,-239.9809684958882,True,True,0.28644227716651033
416,Renal-adjusted associative latent class model,1.5,6954.326031514904,6966.849201307215,12.52316979231091,False,True,0.3076234338107005
416,Biologically constrained latent SCM,1.5,6942.221106877297,6960.384222082903,18.16311520560612,False,True,0.36619145837602646
417,Associative latent class model,1.5,8022.963392540472,7760.7216676608,-262.2417248796719,True,True,0.295355849917741
417,Renal-adjusted associative latent class model,1.5,6782.9078502823995,6812.23916827223,29.331317989830495,False,True,0.4354502370418074
417,Biologically constrained latent SCM,1.5,6770.9249735227495,6803.003137122378,32.07816359962817,False,True,0.3764378947656066
418,Associative latent class model,1.5,8118.676151262662,7847.41144667076,-271.26470459190205,True,True,0.30714337285616133
418,Renal-adjusted associative latent class model,1.5,6902.571489695496,6929.28084599425,26.709356298753846,False,True,0.4709358480377719
418,Biologically constrained latent SCM,1.5,6891.036813670719,6919.017287431436,27.98047376071645,False,True,0.35674605271434656
419,Associative latent class model,1.5,8061.420463946445,7824.44141808227,-236.97904586417553,True,True,0.3116398761372887
419,Renal-adjusted associative latent class model,1.5,6853.753949457997,6879.267014139271,25.513064681274045,False,True,0.3654339032991706
419,Biologically constrained latent SCM,1.5,6842.106775087647,6866.506752061302,24.399976973654702,False,True,0.3830353017653822
420,Associative latent class model,1.5,8249.175995257587,8000.0047158624875,-249.1712793950992,True,True,0.31703150313862344
420,Renal-adjusted associative latent class model,1.5,6983.2874947503915,7014.968219615512,31.680724865120283,False,True,0.48105894905918506
420,Biologically constrained latent SCM,1.5,6972.49789293989,7001.810795682307,29.312902742416554,False,True,0.3678996354878437
421,Associative latent class model,1.5,8255.80161872159,8009.795568984693,-246.0060497368977,True,True,0.3129624286678732
421,Renal-adjusted associative latent class model,1.5,6995.980363309429,7011.780444723683,15.800081414254237,False,True,0.39128642592616053
421,Biologically constrained latent SCM,1.5,6983.753537021519,6997.731638830477,13.978101808957945,False,True,0.09013372541593288
422,Associative latent class model,1.5,8090.515347467563,7828.263224788632,-262.2521226789304,True,True,0.2826047024868226
