repeat,renal_effect_sd,method,accuracy,adjusted_rand_index,false_atrial_renal_competing,brier_score,expected_calibration_error,mean_posterior_entropy,predicted_atrial_prevalence,renal_competing_subgroup_size
289,0.5,Data-generating oracle (reference),0.835,0.4483488139901254,0.17687074829931973,0.11718306773129222,0.03211996325483863,0.36840177356625087,0.505,147
290,0.5,Associative latent class model,0.759,0.2675533097796708,0.5694444444444444,0.1620875112615841,0.10500738377384708,0.32745877167333043,0.584,144
290,0.5,Renal-adjusted associative latent class model,0.802,0.3641772945010856,0.2361111111111111,0.13833148330227382,0.07275231378787582,0.35163339667216326,0.529,144
290,0.5,Biologically constrained latent SCM,0.797,0.3521887155138347,0.1736111111111111,0.1377790292481496,0.05599523564805135,0.3552800405302865,0.512,144
290,0.5,Data-generating oracle (reference),0.814,0.39377323873538117,0.19444444444444445,0.1237912384182238,0.029984014517703942,0.37233099365978656,0.465,144
291,0.5,Associative latent class model,0.815,0.3962958177275254,0.32608695652173914,0.13356510558883605,0.036662664663679505,0.3731467373437556,0.498,138
291,0.5,Renal-adjusted associative latent class model,0.811,0.38626997361388943,0.13043478260869565,0.1277635849307661,0.040109614295212676,0.36243605055204764,0.49,138
291,0.5,Biologically constrained latent SCM,0.817,0.40135750011005666,0.14492753623188406,0.1258760861437813,0.03136668776556465,0.36625194017245205,0.482,138
291,0.5,Data-generating oracle (reference),0.826,0.4245284821679437,0.1956521739130435,0.12313278115920616,0.014751577703687999,0.37943044129391024,0.515,138
292,0.5,Associative latent class model,0.836,0.45103478366862493,0.20279720279720279,0.11760667757965428,0.027124332508364584,0.36527051091970736,0.509,143
292,0.5,Renal-adjusted associative latent class model,0.829,0.43239631335116907,0.04195804195804196,0.1258625838345984,0.05157480418188179,0.3455244676280787,0.486,143
292,0.5,Biologically constrained latent SCM,0.844,0.4728164611552814,0.09090909090909091,0.11726325647218673,0.03567285032860093,0.3566503256228066,0.499,143
292,0.5,Data-generating oracle (reference),0.847,0.48111732799747875,0.1258741258741259,0.11664200161144686,0.028246538644177643,0.3788812688220967,0.52,143
293,0.5,Associative latent class model,0.822,0.4141519908146561,0.23717948717948717,0.130877191779871,0.04617518330763516,0.35244000391792557,0.465,156
293,0.5,Renal-adjusted associative latent class model,0.817,0.4013591051086932,0.23076923076923078,0.1321333942205494,0.04917164544370952,0.3494728638294216,0.466,156
293,0.5,Biologically constrained latent SCM,0.822,0.4141535010948429,0.14102564102564102,0.12719535244043828,0.04815982012069408,0.3577114079814363,0.455,156
293,0.5,Data-generating oracle (reference),0.818,0.4038994369631714,0.14743589743589744,0.12321478868163757,0.01941284572583358,0.3820321741219971,0.497,156
294,0.5,Associative latent class model,0.821,0.4115770109394516,0.36363636363636365,0.1277503383439719,0.029598224767314673,0.36086284825785764,0.531,165
294,0.5,Renal-adjusted associative latent class model,0.81,0.3837859951772825,0.46060606060606063,0.13595486615390542,0.051830019949271056,0.35336789792965345,0.536,165
294,0.5,Biologically constrained latent SCM,0.833,0.44300060231625193,0.09090909090909091,0.11775752833469394,0.029551946802920795,0.37350365087380116,0.467,165
294,0.5,Data-generating oracle (reference),0.834,0.44566956697089505,0.13333333333333333,0.11620420161877579,0.033580616093006235,0.3919702800811923,0.486,165
295,0.5,Associative latent class model,0.82,0.40901036484920217,0.26174496644295303,0.12415514282206869,0.041501706309665626,0.37463603066542306,0.46,149
295,0.5,Renal-adjusted associative latent class model,0.831,0.4376817877534966,0.10738255033557047,0.12176244002831059,0.043326069227353686,0.379509142133624,0.481,149
295,0.5,Biologically constrained latent SCM,0.833,0.4429993539609789,0.15436241610738255,0.11897005158624308,0.04219452093637979,0.3784711011105184,0.475,149
295,0.5,Data-generating oracle (reference),0.833,0.4429989223271519,0.174496644295302,0.1173642853406852,0.02850649057002155,0.3715633696251919,0.513,149
296,0.5,Associative latent class model,0.827,0.42714263480449155,0.2684563758389262,0.12075555788594823,0.020106388214776474,0.37012632529272227,0.505,149
296,0.5,Renal-adjusted associative latent class model,0.837,0.4537293656314116,0.1342281879194631,0.11620112767898587,0.022095523927291524,0.37057669689361517,0.509,149
296,0.5,Biologically constrained latent SCM,0.838,0.45643197366583516,0.15436241610738255,0.11602639782913313,0.01751904537852333,0.37140197474422143,0.506,149
296,0.5,Data-generating oracle (reference),0.84,0.4618614671036729,0.10738255033557047,0.11715964285944043,0.029801932399106276,0.3680364120394203,0.492,149
297,0.5,Associative latent class model,0.801,0.3617688078462898,0.44155844155844154,0.1412362708583692,0.05470973056188545,0.38282214663522174,0.538,154
297,0.5,Renal-adjusted associative latent class model,0.803,0.3666034268956993,0.3961038961038961,0.13959763930137536,0.04624529611140757,0.3767578860611665,0.524,154
297,0.5,Biologically constrained latent SCM,0.806,0.3739200148295768,0.2532467532467532,0.127914850361052,0.026544715356163217,0.3910847482298799,0.533,154
297,0.5,Data-generating oracle (reference),0.823,0.4167326069995783,0.16883116883116883,0.12389029362322544,0.02396412058148118,0.3867633043621157,0.514,154
298,0.5,Associative latent class model,0.802,0.36417956847821553,0.2925170068027211,0.13565353967329563,0.03483449372484242,0.3926027997479891,0.501,147
298,0.5,Renal-adjusted associative latent class model,0.802,0.3641819268407571,0.22448979591836735,0.135678905724642,0.037854090437351356,0.3848236004115712,0.469,147
298,0.5,Biologically constrained latent SCM,0.817,0.4013621082004907,0.10884353741496598,0.13550742256648898,0.05180309889567928,0.38444054705735814,0.452,147
298,0.5,Data-generating oracle (reference),0.814,0.39377725076542286,0.1360544217687075,0.1289553404177953,0.02781374878742821,0.37594477153213707,0.505,147
299,0.5,Associative latent class model,0.809,0.3813052443037993,0.42857142857142855,0.13399177336911988,0.044231828821738324,0.3654236633194203,0.515,126
299,0.5,Renal-adjusted associative latent class model,0.831,0.4376827439666541,0.23015873015873015,0.11992428807679067,0.019790669845434903,0.3850013708811532,0.527,126
299,0.5,Biologically constrained latent SCM,0.835,0.4483487638971902,0.2777777777777778,0.1219718814000887,0.022658131544270693,0.3787268873203988,0.521,126
299,0.5,Data-generating oracle (reference),0.837,0.4537298137523496,0.21428571428571427,0.11787009283033345,0.020263801630874205,0.38406261522916235,0.517,126
300,0.5,Associative latent class model,0.814,0.3937772132889538,0.3769230769230769,0.12926631252337487,0.048684883124240436,0.3588347346152671,0.497,130
300,0.5,Renal-adjusted associative latent class model,0.811,0.3862738603702637,0.23076923076923078,0.13102350183751002,0.04265725199037244,0.3541937282889487,0.542,130
300,0.5,Biologically constrained latent SCM,0.814,0.3937782251519912,0.26153846153846155,0.12822764841179873,0.031788035949211584,0.3561941493437857,0.521,130
300,0.5,Data-generating oracle (reference),0.822,0.41414958652269945,0.23846153846153847,0.12171078459719063,0.027911943797937214,0.38335818123135607,0.501,130
301,0.5,Associative latent class model,0.804,0.36902944926551645,0.35526315789473684,0.13411060062865007,0.034938756111846096,0.38828914593156527,0.458,152
301,0.5,Renal-adjusted associative latent class model,0.83,0.4350350223182409,0.1513157894736842,0.12342049526502817,0.031447700307644,0.3892378019772537,0.484,152
301,0.5,Biologically constrained latent SCM,0.827,0.42714041165952166,0.23026315789473684,0.12329675817911341,0.011159135850477201,0.3938073441562371,0.461,152
301,0.5,Data-generating oracle (reference),0.827,0.4271431968699398,0.21710526315789475,0.12270690197869728,0.022334333701380653,0.38881561882128546,0.485,152
302,0.5,Associative latent class model,0.809,0.38130853241660445,0.42483660130718953,0.13566878745447947,0.054480805179849885,0.3212192216991829,0.54,153
302,0.5,Renal-adjusted associative latent class model,0.824,0.419323949279842,0.2875816993464052,0.12565612546623267,0.049176375207783146,0.32709645671745696,0.523,153
302,0.5,Biologically constrained latent SCM,0.82,0.40901123534080586,0.29411764705882354,0.1260822095050688,0.05574645193909385,0.3266565225221632,0.535,153
302,0.5,Data-generating oracle (reference),0.834,0.445669153500409,0.20915032679738563,0.12040580707851732,0.036973104157482346,0.37408517767542876,0.503,153
303,0.5,Associative latent class model,0.805,0.37147166645361285,0.3333333333333333,0.13471095990976012,0.037422639846410796,0.37011753762599703,0.48,141
303,0.5,Renal-adjusted associative latent class model,0.813,0.3912669978537776,0.19148936170212766,0.12797671284628306,0.03262924853904116,0.36793437262886064,0.506,141
303,0.5,Biologically constrained latent SCM,0.813,0.3912669978537776,0.20567375886524822,0.12626509559361698,0.028554076939059973,0.3706892467620351,0.494,141
303,0.5,Data-generating oracle (reference),0.815,0.39629622887511384,0.20567375886524822,0.12436601005269307,0.023918601519925423,0.3806495633248136,0.486,141
304,0.5,Associative latent class model,0.809,0.3813051791958373,0.48201438848920863,0.14074367395495718,0.06842962250849469,0.33040914680676836,0.524,139
304,0.5,Renal-adjusted associative latent class model,0.82,0.409009092150332,0.30935251798561153,0.1298409745520497,0.04947664711266116,0.3402477302725314,0.505,139
304,0.5,Biologically constrained latent SCM,0.815,0.39629636650490185,0.2517985611510791,0.12783722076591553,0.0568308141593796,0.34630782209885014,0.508,139
304,0.5,Data-generating oracle (reference),0.828,0.4297653667984761,0.15827338129496402,0.12290301257494923,0.01583742290642525,0.3874607915541866,0.463,139
305,0.5,Associative latent class model,0.796,0.3498256130990107,0.4357142857142857,0.14557399996868817,0.06899971488711165,0.3726727461601764,0.595,140
305,0.5,Renal-adjusted associative latent class model,0.791,0.33806962693967896,0.3357142857142857,0.14254215097047854,0.05172932681817755,0.3739515337357451,0.576,140
305,0.5,Biologically constrained latent SCM,0.791,0.33806921625586484,0.29285714285714287,0.14331479891940385,0.053128866971440175,0.37538085669783594,0.574,140
305,0.5,Data-generating oracle (reference),0.799,0.3569615274940401,0.25,0.13887367284129987,0.03158378312622879,0.3901703119333478,0.526,140
306,0.5,Associative latent class model,0.786,0.32651048864574267,0.35,0.14733082776547152,0.05249603083690158,0.36264861456439623,0.485,160
306,0.5,Renal-adjusted associative latent class model,0.806,0.37391789759222677,0.24375,0.13563295432938138,0.03505660709430738,0.3702571492185458,0.485,160
306,0.5,Biologically constrained latent SCM,0.808,0.3788350598880199,0.2125,0.1341077797538929,0.03898848517194393,0.3724427367018426,0.477,160
306,0.5,Data-generating oracle (reference),0.811,0.3862702750521917,0.1875,0.12780600323309296,0.018579805685110317,0.38292037098943205,0.516,160
307,0.5,Associative latent class model,0.76,0.26966810655608114,0.1411042944785276,0.17037190757510448,0.13903124522805516,0.37650421179046156,0.35,163
307,0.5,Renal-adjusted associative latent class model,0.756,0.26140407014371425,0.18404907975460122,0.1667642514434413,0.12785039311002927,0.3756303631095043,0.362,163
307,0.5,Biologically constrained latent SCM,0.782,0.3174123201798921,0.0736196319018405,0.1514855075396116,0.1231373012958088,0.39330412357907735,0.37,163
307,0.5,Data-generating oracle (reference),0.825,0.42192193443341863,0.15337423312883436,0.13052963846113658,0.040974909825040304,0.3913824242234063,0.505,163
308,0.5,Associative latent class model,0.821,0.41157510911901446,0.3472222222222222,0.12620175650681215,0.032202845482311865,0.3577154499310476,0.502,144
308,0.5,Renal-adjusted associative latent class model,0.838,0.4564319962800034,0.10416666666666667,0.11317108791822571,0.02413153511707117,0.3652995001922385,0.499,144
308,0.5,Biologically constrained latent SCM,0.839,0.4591427353089933,0.1527777777777778,0.11358898526698948,0.026908908590959898,0.3647159654309919,0.496,144
308,0.5,Data-generating oracle (reference),0.837,0.4537293178135851,0.1388888888888889,0.11301546351497932,0.03220277530706765,0.3788593847571845,0.496,144
309,0.5,Associative latent class model,0.807,0.37635661902137685,0.3333333333333333,0.13513094760999259,0.026748461007676794,0.3998724408734272,0.446,159
309,0.5,Renal-adjusted associative latent class model,0.823,0.4167213812397989,0.2389937106918239,0.12740620473400371,0.02530841125421209,0.40312250182330933,0.452,159
309,0.5,Biologically constrained latent SCM,0.819,0.40644456784859523,0.1949685534591195,0.12535865618148187,0.011213286089028782,0.40615046706685964,0.464,159
309,0.5,Data-generating oracle (reference),0.82,0.4090097313570963,0.20754716981132076,0.125794231280471,0.022666815161855064,0.39310272735465257,0.489,159
310,0.5,Associative latent class model,0.834,0.44566942172084983,0.2857142857142857,0.11877722115349001,0.035468270581083976,0.34144332842074876,0.508,140
310,0.5,Renal-adjusted associative latent class model,0.834,0.44566946971096133,0.1,0.11515953626483984,0.0329693731515291,0.3361704713903886,0.51,140
310,0.5,Biologically constrained latent SCM,0.842,0.46732304919245377,0.11428571428571428,0.11310602632633154,0.02748696774472691,0.3374632690344393,0.506,140
310,0.5,Data-generating oracle (reference),0.847,0.4811169062365841,0.11428571428571428,0.11130122116956534,0.021016181101257143,0.3683493895667087,0.491,140
311,0.5,Associative latent class model,0.81,0.3837834666610439,0.28378378378378377,0.13198284486383383,0.037936318396803365,0.3445525219383993,0.494,148
311,0.5,Renal-adjusted associative latent class model,0.815,0.39629593480011605,0.16891891891891891,0.12836992050812024,0.03379952405066989,0.3417160299346194,0.499,148
311,0.5,Biologically constrained latent SCM,0.814,0.3937775591005633,0.16216216216216217,0.1284329554730416,0.035226472550221696,0.34157388171725694,0.49,148
