renal_effect_sd,method,metric,mean,ci95_low,ci95_high,monte_carlo_standard_error,repeat_count
0.5,Biologically constrained latent SCM,predicted_atrial_prevalence,0.499706,0.4950809342848223,0.5043310657151777,0.0023540471967249,500
0.5,Data-generating oracle (reference),accuracy,0.8265459999999999,0.8254853980536002,0.8276066019463996,0.0005398208787758,500
0.5,Data-generating oracle (reference),adjusted_rand_index,0.4265368797853229,0.4237667147755685,0.4293070447950774,0.001409947355835,500
0.5,Data-generating oracle (reference),false_atrial_renal_competing,0.1733261361369873,0.1706037484669703,0.1760485238070044,0.0013856298391548,500
0.5,Data-generating oracle (reference),brier_score,0.1219502028614101,0.1213884713557955,0.1225119343670247,0.0002859078243504,500
0.5,Data-generating oracle (reference),expected_calibration_error,0.0275501200118443,0.0269531440146308,0.0281470960090577,0.0003038464227958,500
0.5,Data-generating oracle (reference),mean_posterior_entropy,0.38193789651607,0.3812997071573663,0.3825760858747737,0.0003248230324395,500
0.5,Data-generating oracle (reference),predicted_atrial_prevalence,0.499772,0.4984575869827706,0.5010864130172294,0.0006690046086034,500
1.0,Associative latent class model,accuracy,0.733876,0.7313536719025739,0.736398328097426,0.0012838043289809,500
1.0,Associative latent class model,adjusted_rand_index,0.2213014934933391,0.2166543168041647,0.2259486701825135,0.0023653011506273,500
1.0,Associative latent class model,false_atrial_renal_competing,0.6377043637626444,0.6271178030134488,0.64829092451184,0.0053883047699885,500
1.0,Associative latent class model,brier_score,0.1896966038724677,0.1878866966243392,0.1915065111205963,0.000921199253409,500
1.0,Associative latent class model,expected_calibration_error,0.122313410483607,0.1195867540880111,0.1250400668792029,0.0013878025177936,500
1.0,Associative latent class model,mean_posterior_entropy,0.3411306534662945,0.3395747549890729,0.3426865519435162,0.0007919148989976,500
1.0,Associative latent class model,predicted_atrial_prevalence,0.481844,0.4763353719620134,0.4873526280379865,0.0028037591656413,500
1.0,Renal-adjusted associative latent class model,accuracy,0.8168280000000001,0.8155545323884346,0.8181014676115657,0.0006481643820299,500
1.0,Renal-adjusted associative latent class model,adjusted_rand_index,0.4017595058301403,0.3985503186573105,0.4049686930029701,0.0016333990765092,500
1.0,Renal-adjusted associative latent class model,false_atrial_renal_competing,0.1885120645407644,0.1798415801209864,0.1971825489605424,0.0044130680080168,500
1.0,Renal-adjusted associative latent class model,brier_score,0.1286369320582764,0.1278464558985527,0.129427408218,0.00040233335102,500
1.0,Renal-adjusted associative latent class model,expected_calibration_error,0.0457007214549156,0.0438678231399025,0.0475336197699287,0.0009329011534212,500
1.0,Renal-adjusted associative latent class model,mean_posterior_entropy,0.3699043504169521,0.3682234717655788,0.3715852290683253,0.0008555268013414,500
1.0,Renal-adjusted associative latent class model,predicted_atrial_prevalence,0.5044,0.4999605587065231,0.5088394412934768,0.002259568831128,500
1.0,Biologically constrained latent SCM,accuracy,0.8205339999999999,0.8193693405117801,0.8216986594882196,0.0005927836645403,500
1.0,Biologically constrained latent SCM,adjusted_rand_index,0.4110797843406116,0.4080973750208708,0.4140621936603524,0.0015179746042489,500
1.0,Biologically constrained latent SCM,false_atrial_renal_competing,0.1826285493243901,0.176575309052725,0.1886817895960552,0.0030809536923668,500
1.0,Biologically constrained latent SCM,brier_score,0.1262724146396865,0.1255715269190607,0.1269733023603124,0.0003567349904983,500
1.0,Biologically constrained latent SCM,expected_calibration_error,0.0448461952088045,0.0429255591745513,0.0467668312430577,0.0009775575420529,500
1.0,Biologically constrained latent SCM,mean_posterior_entropy,0.3727462107692141,0.3710737253851126,0.3744186961533157,0.0008512548301936,500
1.0,Biologically constrained latent SCM,predicted_atrial_prevalence,0.5050500000000001,0.5005207897261621,0.5095792102738381,0.0023052590828099,500
1.0,Data-generating oracle (reference),accuracy,0.828452,0.8274469131316068,0.8294570868683931,0.0005115650394418,500
1.0,Data-generating oracle (reference),adjusted_rand_index,0.4314762718697286,0.4288368127533364,0.4341157309861209,0.0013434212001406,500
1.0,Data-generating oracle (reference),false_atrial_renal_competing,0.170638531353482,0.1678529558767361,0.173424106830228,0.0014177909128471,500
1.0,Data-generating oracle (reference),brier_score,0.1212915890594548,0.1207392027901857,0.1218439753287239,0.0002811513238428,500
1.0,Data-generating oracle (reference),expected_calibration_error,0.0277153894199444,0.0271179421922712,0.0283128366476175,0.0003040862677647,500
1.0,Data-generating oracle (reference),mean_posterior_entropy,0.3819802586095371,0.38136567376107,0.3825948434580041,0.0003128089045169,500
1.0,Data-generating oracle (reference),predicted_atrial_prevalence,0.500912,0.4995627361364647,0.5022612638635353,0.0006867428510636,500
1.5,Associative latent class model,accuracy,0.578534,0.573334323075386,0.583733676924614,0.0026465104805095,500
1.5,Associative latent class model,adjusted_rand_index,0.0376718932647429,0.0342832505136233,0.0410605360158625,0.0017247376491966,500
1.5,Associative latent class model,false_atrial_renal_competing,0.7599386675617749,0.7322889544493769,0.7875883806741728,0.0140730388822139,500
