repeat,atrial_probability_if_renal_impaired,renal_effect_sd,method,fitted_prior_atrial_given_renal,accuracy,adjusted_rand_index,false_atrial_renal_competing,brier_score,expected_calibration_error,mean_posterior_entropy,predicted_atrial_prevalence,renal_competing_subgroup_size
143,0.7,1.5,Biologically constrained latent SCM,0.6847365877951204,0.845,0.47545506911959756,0.22826086956521738,0.11312021842097356,0.015406046298794128,0.3607614820203361,0.575,92
143,0.7,1.5,Data-generating oracle (reference),,0.852,0.4950224893995476,0.2391304347826087,0.1122198285258769,0.019524535127031277,0.36037982089494797,0.566,92
144,0.7,1.5,Associative latent class model,,0.657,0.09663046341408939,0.8160919540229885,0.2628682301840397,0.2615200674888337,0.21772641917294472,0.377,87
144,0.7,1.5,Renal-adjusted associative latent class model,0.6571311913073918,0.82,0.4090115334249658,0.21839080459770116,0.12536482303818886,0.08455118698085702,0.3526509665880767,0.486,87
144,0.7,1.5,Biologically constrained latent SCM,0.6088449575064928,0.815,0.39630245653116025,0.20689655172413793,0.1241673798100641,0.08256249562552642,0.36507725012082554,0.489,87
144,0.7,1.5,Data-generating oracle (reference),,0.842,0.46702205018939424,0.28735632183908044,0.11253826409819308,0.03490194275239784,0.3602821752327726,0.586,87
145,0.7,1.5,Associative latent class model,,0.579,0.021972801616463884,0.92,0.34371361786982074,0.3519633205786865,0.18377729038882654,0.333,100
145,0.7,1.5,Renal-adjusted associative latent class model,0.7467324016232034,0.837,0.45327328152626906,0.39,0.11272878023321911,0.03422514112816215,0.350706228586485,0.607,100
145,0.7,1.5,Biologically constrained latent SCM,0.7454240953403397,0.839,0.45854255046123044,0.38,0.11277171913407832,0.03670949225369513,0.35084837087457965,0.623,100
145,0.7,1.5,Data-generating oracle (reference),,0.835,0.44818482765140477,0.33,0.11187310092270147,0.025351821605961528,0.36525294661097496,0.565,100
146,0.7,1.5,Associative latent class model,,0.694,0.14935132209296004,0.8426966292134831,0.2309068175960994,0.22881223684334012,0.24676350227900526,0.412,89
146,0.7,1.5,Renal-adjusted associative latent class model,0.7621719180420006,0.83,0.43471425121389484,0.39325842696629215,0.11713674354345428,0.04310958211140398,0.31833947577019067,0.604,89
146,0.7,1.5,Biologically constrained latent SCM,0.7654712141072891,0.829,0.43198641940266885,0.4044943820224719,0.11794444394675746,0.04954682846342004,0.31850696890629027,0.617,89
146,0.7,1.5,Data-generating oracle (reference),,0.84,0.4617718460437734,0.24719101123595505,0.11359547946915709,0.028724005239801998,0.36784609033425525,0.558,89
